Depth	sand	LOI550
2.5	0	48.99328859
7.5	0	51.27118644
12.5	0	47.77887463
17.5	2	49.07407407
22.5	2	42.24555735
27.5	0	39.90578735
32.5	0	41.28582494
37.5	0	42.25146199
42.5	2	42.52039891
47.5	4	42.19440353
52.5	0	40.72289157
57.5	0	44.87847222
62.5	0	42.94294294
70	0	42.28136882
77.5	0	43.26693227
82.5	0	45.28455285
87.5	0	47.5494411
92.5	0	49.09716251
97.5	0	50.29486099
102.5	0	48.63600935
107.5	2	49.47735192
112.5	0	47.72524532
117.5	0	47.48078565
122.5	0	49.4411006
127.5	0	49.86046512
132.5	0	48.90710383
137.5	0	50.47867711
142.5	0	50.93220339
147.5	0	51.34693878
152.5	0	50.21026072
157.5	0	48.9894907
162.5	0	49.70212766
167.5	0	48.67986799
172.5	0	48.45679012
177.5	16	50.67621321
182.5	2	50.32679739
187.5	0	53.51170569
192.5	0	56.14789338
197.5	0	55.53648069
202.5	0	61.50761828
207.5	0	68.02030457
212.5	2	61.83206107
217.5	0	59.61002786
222.5	0	57.12121212
227.5	0	57.91821561
232.5	0	58.30337886
237.5	4	58.24634656
242.5	2	60.54131054
247.5	2	60.96033403
252.5	2	61.07572541
257.5	0	60.93023256
262.5	0	61.54910097
267.5	4	62.16216216
272.5	0	62.91525424
277.5	4	62.5
282.5	6	62.85338593
287.5	0	60.10781671
292.5	0	59.35483871
297.5	0	58.60627178
302.5	0	60.96885813
307.5	0	61.03988604
312.5	0	62.76668961
317.5	0	63.76350922
322.5	0	60.28645833
327.5	2	60.60407091
332.5	2	60.25104603
337.5	2	61.40988372
342.5	0	67.82740348
347.5	2	68.36518047
352.5	2	71.83391003
357.5	0	67.92573624
362.5	0	70.65826331
