"depth_avg_mm" "mass_depth_g.cm.2" "BestAD" "MinAD" "MaxAD" "MAR_g.cm.2.yr" "MAR_err_g.cm.2.yr"
0 0 2019 2019 2019 0.0403348078183576 0.00641506681453394
20 0.06515 2017.38476979255 2017.12787481121 2017.64166477388 0.0403348078183576 0.00641506681453394
40 0.264875 2012.4330913093 2011.38865449915 2013.47752811945 0.0403348078183576 0.00641506681453394
60 0.5209 2006.085596085 2004.03161917361 2008.1395729964 0.0403348078183576 0.00641506681453394
80 0.772416667 1999.84987362582 1996.80413356055 2002.89561369108 0.0403348078183576 0.00641506681453394
100 1.021058334 1993.6854295526 1989.65926283495 1997.71159627026 0.0403348078183576 0.00641506681453394
120 1.257708334 1987.81828866859 1982.85898001182 1992.77759732535 0.0403348078183576 0.00641506681453394
140 1.487908334 1982.11105929398 1976.24404189273 1987.97807669524 0.0403348078183576 0.00641506681453394
160 1.720808334 1976.33689021776 1969.55151761846 1983.12226281707 0.0403348078183576 0.00641506681453394
180 1.965083334 1970.28070665789 1962.53212574599 1978.02928756979 0.0403348078183576 0.00641506681453394
200 2.211108334 1964.18113625439 1955.46244655073 1972.89982595805 0.0403348078183576 0.00641506681453394
220 2.463008334 1957.93591001867 1948.22394562892 1967.64787440841 0.0403348078183576 0.00641506681453394
240 2.729713334 1951.32363108576 1940.56001395624 1962.08724821529 0.0403348078183576 0.00641506681453394
260 3.005643334 1944.48264150568 1932.63099625336 1956.334286758 0.0403348078183576 0.00641506681453394
270 3.144243334 1941.04640348952 1928.64824028765 1953.44456669139 0.0403348078183576 0.00641506681453394
280 3.144243334 1941.04640348952 1928.64824028765 1953.44456669139 0.0403348078183576 0.00641506681453394
