"depth_avg_mm" "mass_depth_g.cm.2" "BestAD_CIC" "MinAD_CIC" "MaxAD_CIC" "MAR_CIC_g.cm.2.yr" "MAR_CIC_err_g.cm.2.yr"
0 0 2019 2019 2019 0 0
10 0.06515 2019 1996.03322954558 2041.96677045442 0 0
30 0.264875 1998.37957312846 1975.82005897143 2020.9390872855 0.0130525910873131 0.0203780990226492
50 0.5209 1993.92168783046 1970.7741704432 2017.06920521772 0.0544877186743216 0.395069669119009
70 0.772416667 1985.7221180647 1961.05563622831 2010.3885999011 0.0317252418640786 0.130879909817991
90 1.021058334 1983.40488984851 1953.47478561079 2013.33499408624 0.102342099212697 1.71295128691885
110 1.257708334 1989.29690524588 1964.36444630425 2014.22936418751 -0.0400796644397034 0.264981634293023
130 1.487908334 1980.27706592866 1952.30565024742 2008.2484816099 0.024861861959332 0.103281532417278
150 1.720808334 1970.65992600006 1937.7527380748 2003.56711392532 0.0251166148972827 0.112794403244552
170 1.965083334 1959.02571135032 1913.02769532891 2005.02372737174 0.0212304833146293 0.1032071053615
190 2.211108334 1956.75411248916 1906.52138860752 2006.9868363708 0.107875560332884 3.23452379330932
210 2.463008334 1927.58696428959 1826.07237368028 2029.10155489889 0.00887128210922577 0.0344493486895463
230 2.729713334 1969.47215315123 1935.13808236828 2003.80622393418 -0.00655744924314985 0.0167772902440169
250 3.005643334 1908.8417245884 1696.90694373196 2120.77650544484 0.0045719617454582 0.0161897337405495
270 3.287493334 1946.60439548593 1880.42634285887 2012.782448113 -0.00758685742270199 0.0446071582742098
