"depth_avg_mm" "mass_depth_g.cm.2" "BestAD" "MinAD" "MaxAD" "MAR_g.cm.2.yr" "MAR_err_g.cm.2.yr"
0 0 2019 2019 2019 0.0403348078183576 0.00641506681453394
5 0.0162875 2018.59619244814 2018.5319687028 2018.66041619347 0.0403348078183576 0.00641506681453394
10 0.032575 2018.19238489627 2018.06393740561 2018.32083238694 0.0403348078183576 0.00641506681453394
15 0.0488625 2017.78857734441 2017.59590610841 2017.98124858041 0.0403348078183576 0.00641506681453394
20 0.06515 2017.38476979255 2017.12787481121 2017.64166477388 0.0403348078183576 0.00641506681453394
25 0.11508125 2016.14685017174 2015.6930697332 2016.60063061027 0.0403348078183576 0.00641506681453394
30 0.1650125 2014.90893055092 2014.25826465518 2015.55959644667 0.0403348078183576 0.00641506681453394
35 0.21494375 2013.67101093011 2012.82345957717 2014.51856228306 0.0403348078183576 0.00641506681453394
40 0.264875 2012.4330913093 2011.38865449915 2013.47752811945 0.0403348078183576 0.00641506681453394
45 0.32888125 2010.84621750323 2009.54939566777 2012.14303933869 0.0403348078183576 0.00641506681453394
50 0.3928875 2009.25934369715 2007.71013683638 2010.80855055793 0.0403348078183576 0.00641506681453394
55 0.45689375 2007.67246989108 2005.87087800499 2009.47406177716 0.0403348078183576 0.00641506681453394
60 0.5209 2006.085596085 2004.03161917361 2008.1395729964 0.0403348078183576 0.00641506681453394
65 0.58377916675 2004.52666547021 2002.22474777034 2006.82858317007 0.0403348078183576 0.00641506681453394
70 0.6466583335 2002.96773485541 2000.41787636708 2005.51759334374 0.0403348078183576 0.00641506681453394
75 0.70953750025 2001.40880424061 1998.61100496381 2004.20660351741 0.0403348078183576 0.00641506681453394
80 0.772416667 1999.84987362582 1996.80413356055 2002.89561369108 0.0403348078183576 0.00641506681453394
85 0.83457708375 1998.30876260751 1995.01791587915 2001.59960933588 0.0403348078183576 0.00641506681453394
90 0.8967375005 1996.76765158921 1993.23169819775 2000.30360498067 0.0403348078183576 0.00641506681453394
95 0.95889791725 1995.22654057091 1991.44548051635 1999.00760062546 0.0403348078183576 0.00641506681453394
100 1.021058334 1993.6854295526 1989.65926283495 1997.71159627026 0.0403348078183576 0.00641506681453394
105 1.080220834 1992.2186443316 1987.95919212917 1996.47809653403 0.0403348078183576 0.00641506681453394
110 1.139383334 1990.7518591106 1986.25912142339 1995.24459679781 0.0403348078183576 0.00641506681453394
115 1.198545834 1989.28507388959 1984.55905071761 1994.01109706158 0.0403348078183576 0.00641506681453394
120 1.257708334 1987.81828866859 1982.85898001182 1992.77759732535 0.0403348078183576 0.00641506681453394
125 1.315258334 1986.39148132494 1981.20524548205 1991.57771716782 0.0403348078183576 0.00641506681453394
130 1.372808334 1984.96467398129 1979.55151095228 1990.37783701029 0.0403348078183576 0.00641506681453394
135 1.430358334 1983.53786663763 1977.8977764225 1989.17795685276 0.0403348078183576 0.00641506681453394
140 1.487908334 1982.11105929398 1976.24404189273 1987.97807669524 0.0403348078183576 0.00641506681453394
145 1.546133334 1980.66751702493 1974.57091082416 1986.76412322569 0.0403348078183576 0.00641506681453394
150 1.604358334 1979.22397475587 1972.8977797556 1985.55016975615 0.0403348078183576 0.00641506681453394
155 1.662583334 1977.78043248682 1971.22464868703 1984.33621628661 0.0403348078183576 0.00641506681453394
160 1.720808334 1976.33689021776 1969.55151761846 1983.12226281707 0.0403348078183576 0.00641506681453394
165 1.781877084 1974.8228443278 1967.79666965034 1981.84901900525 0.0403348078183576 0.00641506681453394
170 1.842945834 1973.30879843783 1966.04182168223 1980.57577519343 0.0403348078183576 0.00641506681453394
175 1.904014584 1971.79475254786 1964.28697371411 1979.30253138161 0.0403348078183576 0.00641506681453394
