"depth_avg_mm" "mass_depth_g.cm.2" "BestAD_CRS" "MinAD_CRS" "MaxAD_CRS" "MAR_CRS_g.cm.2.yr" "MAR_CRS_err_g.cm.2.yr"
0 0.032575 2019 2019 2019 0.0148603062908878 0.0082560816849966
5 0.09065 2017.82171614283 2017.20276179257 2018.44067049309 0.0233276037673001 0.0128751445993833
10 0.148725 2016.64343228565 2015.40552358514 2017.88134098617 0.0317949012437123 0.0174942075137701
15 0.2068 2015.46514842848 2013.6082853777 2017.32201147925 0.0402621987201246 0.0221132704281568
20 0.264875 2014.28686457131 2011.81104717027 2016.76268197234 0.0487294961965368 0.0267323333425435
25 0.32888125 2012.77190190459 2009.8886739355 2015.65512987369 0.0481377466020456 0.0268432531493201
30 0.3928875 2011.25693923788 2007.96630070072 2014.54757777505 0.0475459970075544 0.0269541729560967
35 0.45689375 2009.74197657117 2006.04392746594 2013.4400256764 0.0469542474130631 0.0270650927628733
40 0.5209 2008.22701390446 2004.12155423116 2012.33247357776 0.0463624978185719 0.0271760125696498
45 0.58377916675 2006.79737337602 2002.33543626541 2011.25931048663 0.0472916970336124 0.0286487873966482
50 0.6466583335 2005.36773284758 2000.54931829967 2010.1861473955 0.048220896248653 0.0301215622236466
55 0.70953750025 2003.93809231915 1998.76320033392 2009.11298430437 0.0491500954636935 0.0315943370506449
60 0.772416667 2002.50845179071 1996.97708236817 2008.03982121324 0.0500792946787341 0.0330671118776433
65 0.83457708375 2001.09215480335 1995.17399310887 2007.01031649784 0.0488419298842353 0.0345223532717937
70 0.8967375005 1999.675857816 1993.37090384956 2005.98081178243 0.0476045650897365 0.0359775946659442
75 0.95889791725 1998.25956082864 1991.56781459025 2004.95130706702 0.0463672002952377 0.0374328360600947
80 1.021058334 1996.84326384128 1989.76472533095 2003.92180235162 0.0451298355007389 0.0388880774542451
85 1.080220834 1995.40893633134 1987.90927228603 2002.90860037664 0.041707299742292 0.0347713672092679
90 1.139383334 1993.97460882139 1986.05381924112 2001.89539840167 0.0382847639838451 0.0306546569642906
95 1.198545834 1992.54028131145 1984.19836619621 2000.88219642669 0.0348622282253982 0.0265379467193134
100 1.257708334 1991.10595380151 1982.34291315129 1999.86899445172 0.0314396924669514 0.0224212364743361
105 1.315258334 1988.96746740329 1979.46124106084 1998.47369374573 0.0315543424843228 0.0236862211790884
110 1.372808334 1986.82898100507 1976.5795689704 1997.07839303975 0.0316689925016943 0.0249512058838406
115 1.430358334 1984.69049460686 1973.69789687995 1995.68309233376 0.0317836425190657 0.0262161905885928
120 1.487908334 1982.55200820864 1970.8162247895 1994.28779162778 0.0318982925364372 0.0274811752933451
125 1.546133334 1980.5689028742 1967.98185791177 1993.15594783663 0.0323270148885304 0.0295971141765408
130 1.604358334 1978.58579753976 1965.14749103404 1992.02410404548 0.0327557372406235 0.0317130530597366
135 1.662583334 1976.60269220532 1962.3131241563 1990.89226025433 0.0331844595927167 0.0338289919429323
140 1.720808334 1974.61958687088 1959.47875727857 1989.76041646318 0.0336131819448098 0.035944930826128
145 1.781877084 1972.58641708881 1956.40757762182 1988.76525655581 0.0345794038882717 0.0411809944115303
150 1.842945834 1970.55324730675 1953.33639796506 1987.77009664844 0.0355456258317337 0.0464170579969325
155 1.904014584 1968.52007752469 1950.26521830831 1986.77493674107 0.0365118477751956 0.0516531215823348
160 1.965083334 1966.48690774262 1947.19403865155 1985.77977683369 0.0374780697186575 0.056889185167737
165 2.026589584 1964.64322852761 1944.35802091369 1984.92843614153 0.036103759213438 0.0562242254437054
170 2.088095834 1962.7995493126 1941.52200317583 1984.07709544937 0.0347294487082184 0.0555592657196737
175 2.149602084 1960.95587009759 1938.68598543796 1983.22575475721 0.0333551382029989 0.0548943059956421
180 2.211108334 1959.11219088258 1935.8499677001 1982.37441406505 0.0319808276977793 0.0542293462716105
185 2.274083334 1956.92424039322 1932.32936665238 1981.51911413406 0.0390662189673378 0.0899484729799916
190 2.337058334 1954.73628990386 1928.80876560465 1980.66381420307 0.0461516102368962 0.125667599688373
195 2.400033334 1952.5483394145 1925.28816455693 1979.80851427208 0.0532370015064547 0.161386726396754
200 2.463008334 1950.36038892515 1921.7675635092 1978.95321434109 0.0603223927760131 0.197105853105135
205 2.529684584 1949.20947183884 1920.1618031407 1978.25714053699 0.0487969672594456 0.152795849210204
210 2.596360834 1948.05855475254 1918.55604277219 1977.56106673288 0.0372715417428782 0.108485845315274
215 2.663037084 1946.90763766623 1916.95028240368 1976.86499292878 0.0257461162263107 0.0641758414203433
220 2.729713334 1945.75672057993 1915.34452203518 1976.16891912468 0.0142206907097432 0.0198658375254127
225 2.798695834 1938.38018644439 1898.86424564088 1977.89612724791 0.0200198057051242 0.0795671646546435
230 2.867678334 1931.00365230886 1882.38396924657 1979.62333537114 0.0258189207005052 0.139268491783874
235 2.936660834 1923.62711817332 1865.90369285227 1981.35054349437 0.0316180356958861 0.198969818913105
240 3.005643334 1916.25058403779 1849.42341645797 1983.07775161761 0.0374171506912671 0.258671146042336
245 3.076105834 1914.14556811115 1848.38958308669 1979.9015531356 0.0302891709470425 0.200285491123751
250 3.146568334 1912.04055218451 1847.35574971542 1976.72535465359 0.023161191202818 0.141899836205166
255 3.217030834 1909.93553625787 1846.32191634414 1973.54915617159 0.0160332114585934 0.0835141812865805
260 3.287493334 1907.83052033122 1845.28808297287 1970.37295768958 0.0089052317143688 0.0251285263679954
