"depth_avg_mm" "mass_depth_g.cm.2" "BestAD_CRS" "MinAD_CRS" "MaxAD_CRS" "MAR_CRS_g.cm.2.yr" "MAR_CRS_err_g.cm.2.yr"
0 0 2019 2019 2019 0 0
0 0.06515 2019 2019 2019 0.0297206125817757 0.0165121633699932
20 0.264875 2014.28686457131 2011.81104717027 2016.76268197234 0.0487294961965368 0.0267323333425435
40 0.5209 2008.22701390446 2004.12155423116 2012.33247357776 0.0463624978185719 0.0271760125696498
60 0.772416667 2002.50845179071 1996.97708236817 2008.03982121324 0.0500792946787341 0.0330671118776433
80 1.021058334 1996.84326384128 1989.76472533095 2003.92180235162 0.0451298355007389 0.0388880774542451
100 1.257708334 1991.10595380151 1982.34291315129 1999.86899445172 0.0314396924669514 0.0224212364743361
120 1.487908334 1982.55200820864 1970.8162247895 1994.28779162778 0.0318982925364372 0.0274811752933451
140 1.720808334 1974.61958687088 1959.47875727857 1989.76041646318 0.0336131819448098 0.035944930826128
160 1.965083334 1966.48690774262 1947.19403865155 1985.77977683369 0.0374780697186575 0.056889185167737
180 2.211108334 1959.11219088258 1935.8499677001 1982.37441406505 0.0319808276977793 0.0542293462716105
200 2.463008334 1950.36038892515 1921.7675635092 1978.95321434109 0.0603223927760131 0.197105853105135
220 2.729713334 1945.75672057993 1915.34452203518 1976.16891912468 0.0142206907097432 0.0198658375254127
240 3.005643334 1916.25058403779 1849.42341645797 1983.07775161761 0.0374171506912671 0.258671146042336
260 3.287493334 1907.83052033122 1845.28808297287 1970.37295768958 0.0089052317143688 0.0251285263679954
