"depth_avg_mm" "mass_depth_g.cm.2" "BestAD_CIC" "MinAD_CIC" "MaxAD_CIC" "MAR_CIC_g.cm.2.yr" "MAR_CIC_err_g.cm.2.yr"
0 0 2019 2019 2019 0 0
10 0.0358 2019 2006.09770026948 2031.90229973052 0 0
30 0.12225 2024.76490616888 2012.8543434122 2036.67546892557 -0.0175718384709808 0.0535221369418581
50 0.2208 2021.74780497935 2009.92599285478 2033.56961710392 0.0317523324482203 0.17660988013923
70 0.3177 2015.00514593562 2002.90117716668 2027.10911470457 0.0145343253105952 0.0364707755119914
90 0.4299 2005.80621585401 1993.99015567082 2017.62227603719 0.013740728419344 0.0252668206487564
110 0.5566 1996.51697707023 1983.8712068874 2009.16274725307 0.0136717338154622 0.0254722376112456
130 0.6738 1995.07234775326 1982.62989000214 2007.51480550438 0.074344330921441 0.912978777546929
150 0.8056 1992.34856342361 1979.83591642749 2004.86121041973 0.0573466842802588 0.371519584768767
170 0.9768 1980.00531236009 1966.88226698159 1993.12835773858 0.0150851667070361 0.0221602001868691
190 1.18825 1966.35802894076 1952.1138765678 1980.60218131372 0.0173441111118666 0.0246141742782389
210 1.45285 1942.0251508102 1923.46711906784 1960.58318255257 0.0120207728173647 0.0115571356744462
230 1.74335 1931.82349185766 1910.79836452839 1952.84861918694 0.0282797142447278 0.0777394699303344
250 2.04415 1942.87775564125 1926.41323067388 1959.34228060861 -0.0283239124857007 0.0684242067767789
270 2.39 1913.32326861543 1887.53025376658 1939.11628346428 0.0128102375679637 0.0132634110872998
290 2.7221 1899.73235892362 1853.76760252115 1945.69711532609 0.0210140458936399 0.0814948708029498
310 3.0387 1889.63027175699 1836.98599026523 1942.27455324876 0.0344087310143553 0.238041862598317
325 3.518 1867.63607906701 1797.38791783431 1937.88424029971 NA NA
