"name"	"coring_yr"	"date_computation"	"model_tested"	"Chernobyl"	"NWT"	"Hemisphere"	"FF"	"inst_deposit"	"ignore_depths"	"historic_depth"	"historic_age"	"historic_name"	"suppdescriptor"	"descriptor_lab"	"varves"	"sedchange"	"SML"	"age_forced_CRS_pw"	"depth_forced_CRS_pw"
"TL09"	"2019"	"2022-02-21 15:12:21"	"CFCS, CRS, CIC"	NA	"180, 200"	"NH"	NA	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL09"	"2019"	"2022-02-21 15:15:58"	"CFCS, CRS, CIC"	NA	"180, 200"	"NH"	NA	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL09"	"2019"	"2022-02-21 15:18:06"	"CFCS, CRS, CIC"	NA	"180, 200"	"NH"	"260, 280"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL09"	"2019"	"2022-02-21 15:51:57"	"CFCS, CRS, CIC"	NA	"180, 200"	"NH"	"260, 280"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL09"	"2019"	"2022-02-21 15:52:57"	"CFCS, CRS, CIC"	NA	"180, 200"	"NH"	"260, 280"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL09"	"2019"	"2022-02-21 15:54:58"	"CFCS, CRS, CIC"	NA	"180, 200"	"NH"	"260, 280"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL09"	"2019"	"2022-02-21 16:44:23"	"CFCS, CRS"	NA	"180, 200"	"NH"	"260, 280"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL09"	"2019"	"2022-02-21 16:47:08"	"CFCS, CRS"	NA	"180, 200"	"NH"	"220, 240"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL09"	"2019"	"2022-03-11 12:29:52"	"CFCS, CRS"	NA	"180, 200"	"NH"	"220, 240"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL09"	"2019"	"2022-03-11 12:54:28"	"CFCS, CRS"	NA	"180, 220"	"NH"	"240, 300"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL09"	"2019"	"2022-03-11 13:16:26"	"CFCS, CRS, CIC"	NA	"180, 220"	"NH"	"220, 260"	"0"	NA	NA	NA	NA	"TRUE"	NA	"FALSE"	"0"	"0"	NA	NA
"TL09"	"2019"	"2022-03-11 16:45:52"	"CFCS, CRS, CIC"	NA	"180, 220"	"NH"	"220, 260"	"0"	NA	NA	NA	NA	"TRUE"	NA	"FALSE"	"0"	"0"	NA	NA
