"depth_avg_mm" "mass_depth_g.cm.2" "BestAD_CRS" "MinAD_CRS" "MaxAD_CRS" "MAR_CRS_g.cm.2.yr" "MAR_CRS_err_g.cm.2.yr"
0 0.0179 2019 2019 2019 0.0132755094317073 0.00403281080806116
5 0.0439875 2018.29588599706 2018.0903653703 2018.50140662383 0.015040339032374 0.00436118936934468
10 0.070075 2017.59177199413 2017.1807307406 2018.00281324766 0.0168051686330406 0.00468956793062821
15 0.0961625 2016.88765799119 2016.2710961109 2017.50421987149 0.0185699982337073 0.00501794649191173
20 0.12225 2016.18354398826 2015.3614614812 2017.00562649532 0.020334827834374 0.00534632505319526
25 0.1468875 2014.83044973255 2013.83022415738 2015.83067530771 0.0199700823678352 0.00524081789704274
30 0.171525 2013.47735547684 2012.29898683357 2014.6557241201 0.0196053369012964 0.00513531074089023
35 0.1961625 2012.12426122112 2010.76774950975 2013.4807729325 0.0192405914347576 0.00502980358473772
40 0.2208 2010.77116696541 2009.23651218593 2012.30582174489 0.0188758459682188 0.0049242964285852
45 0.245025 2009.39031757618 2007.73465511178 2011.04598004058 0.0190581177106202 0.00504435401470751
50 0.26925 2008.00946818695 2006.23279803763 2009.78613833627 0.0192403894530217 0.00516441160082982
55 0.293475 2006.62861879772 2004.73094096348 2008.52629663196 0.0194226611954232 0.00528446918695212
60 0.3177 2005.24776940849 2003.22908388933 2007.26645492765 0.0196049329378247 0.00540452677307443
65 0.34575 2003.88960324327 2001.76399455635 2006.01521193018 0.0202136359567855 0.00552266161988042
70 0.3738 2002.53143707805 2000.29890522337 2004.76396893272 0.0208223389757462 0.0056407964666864
75 0.40185 2001.17327091283 1998.8338158904 2003.51272593526 0.021431041994707 0.00575893131349239
80 0.4299 1999.81510474761 1997.36872655742 2002.2614829378 0.0220397450136677 0.00587706616029837
85 0.461575 1998.23597879721 1995.66557742111 2000.80638017331 0.0225731320820375 0.00625626461964032
90 0.49325 1996.65685284681 1993.9624282848 1999.35127740883 0.0231065191504073 0.00663546307898227
95 0.524925 1995.07772689642 1992.25927914848 1997.89617464435 0.0236399062187771 0.00701466153832422
100 0.5566 1993.49860094602 1990.55613001217 1996.44107187987 0.0241732932871469 0.00739385999766616
105 0.5859 1992.06460413229 1989.00213161592 1995.12707664866 0.0234186384842978 0.00714836581176652
110 0.6152 1990.63060731856 1987.44813321967 1993.81308141745 0.0226639836814486 0.00690287162586687
115 0.6445 1989.19661050483 1985.89413482342 1992.49908618624 0.0219093288785994 0.00665737743996722
120 0.6738 1987.7626136911 1984.34013642717 1991.18509095503 0.0211546740757502 0.00641188325406757
125 0.70675 1986.38128254254 1982.82403074308 1989.93853434199 0.0207136199569223 0.00632848308964355
130 0.7397 1984.99995139397 1981.30792505898 1988.69197772896 0.0202725658380943 0.00624508292521952
135 0.77265 1983.6186202454 1979.79181937489 1987.44542111592 0.0198315117192664 0.0061616827607955
140 0.8056 1982.23728909684 1978.27571369079 1986.19886450288 0.0193904576004384 0.00607828259637148
145 0.8484 1979.9192926774 1975.71402987851 1984.12455547628 0.0198760373558865 0.00642514199899075
150 0.8912 1977.60129625795 1973.15234606623 1982.05024644968 0.0203616171113346 0.00677200140161002
155 0.934 1975.28329983851 1970.59066225394 1979.97593742308 0.0208471968667826 0.0071188608042293
160 0.9768 1972.96530341907 1968.02897844166 1977.90162839647 0.0213327766222307 0.00746572020684857
165 1.0296625 1970.41971977269 1965.15598962335 1975.68344992204 0.0219392357631701 0.00802982734610613
170 1.082525 1967.87413612632 1962.28300080504 1973.4652714476 0.0225456949041095 0.00859393448536369
175 1.1353875 1965.32855247995 1959.41001198673 1971.24709297317 0.0231521540450488 0.00915804162462125
180 1.18825 1962.78296883358 1956.53702316842 1969.02891449873 0.0237586131859882 0.00972214876387881
185 1.2544 1959.80235150675 1953.08911340305 1966.51558961045 0.0265545144747799 0.0123210708385341
190 1.32055 1956.82173417993 1949.64120363769 1964.00226472217 0.0293504157635716 0.0149199929131894
195 1.3867 1953.84111685311 1946.19329387232 1961.48893983389 0.0321463170523633 0.0175189149878447
200 1.45285 1950.86049952628 1942.74538410695 1958.97561494561 0.034942218341155 0.0201178370625
205 1.525475 1948.43660328103 1939.90019575112 1956.97301081095 0.0350807169244082 0.0210778700726383
210 1.5981 1946.01270703579 1937.05500739528 1954.97040667629 0.0352192155076614 0.0220379030827766
215 1.670725 1943.58881079054 1934.20981903945 1952.96780254163 0.0353577140909145 0.0229979360929148
220 1.74335 1941.16491454529 1931.36463068361 1950.96519840697 0.0354962126741677 0.0239579691030531
225 1.81855 1938.82282999494 1928.52715608669 1949.11850390318 0.0313258119053183 0.0206812147578628
230 1.89375 1936.48074544458 1925.68968148977 1947.2718093994 0.0271554111364689 0.0174044604126724
235 1.96895 1934.13866089423 1922.85220689285 1945.42511489561 0.0229850103676195 0.0141277060674821
240 2.04415 1931.79657634388 1920.01473229593 1943.57842039182 0.0188146095987701 0.0108509517222917
245 2.1306125 1925.93903450171 1912.04687536898 1939.83119363444 0.0198009018443278 0.0137747994738012
250 2.217075 1920.08149265954 1904.07901844202 1936.08396687705 0.0207871940898856 0.0166986472253106
255 2.3035375 1914.22395081736 1896.11116151507 1932.33674011966 0.0217734863354433 0.01962249497682
260 2.39 1908.36640897519 1888.14330458812 1928.58951336227 0.022759778581001 0.0225463427283294
265 2.473025 1902.51234393078 1878.91126828191 1926.11341957965 0.0212623489221942 0.024282242149201
270 2.55605 1896.65827888637 1869.67923197571 1923.63732579703 0.0197649192633873 0.0260181415700725
275 2.639075 1890.80421384196 1860.4471956695 1921.16123201441 0.0182674896045805 0.0277540409909441
280 2.7221 1884.95014879754 1851.21515936329 1918.6851382318 0.0167700599457737 0.0294899404118156
285 2.80125 1878.88857260961 1840.69009970525 1917.08704551397 0.0152786431651894 0.0282787862235755
290 2.8804 1872.82699642168 1830.16504004722 1915.48895279614 0.0137872263846052 0.0270676320353354
295 2.95955 1866.76542023374 1819.63998038918 1913.89086007831 0.0122958096040209 0.0258564778470952
300 3.0387 1860.70384404581 1809.11492073114 1912.29276736048 0.0108043928234366 0.0246453236588551
