Depth	sand	LOI550
5	0	50.17064846
15	4	52.4822695
25	2	56.06557377
35	4	55.08684864
45	0	61.31078224
55	2	58.1443299
65	6	51.9650655
75	0	54.98084291
85	6	60
95	4	55.19877676
105	4	55.06993007
115	2	60.74498567
125	0	54.31547619
135	16	55.72139303
145	48	53.51418002
155	10	58.72170439
165	18	48.67052023
175	46	42.62788365
185	42	44.80286738
195	52	48.6011191
205	148	49.65325936
215	166	50.03371544
225	172	55.60538117
235	18	68.35347432
245	74	58.68421053
255	50	57.60397269
265	76	58.01104972
275	408	39.87019008
285	94	52.72614622
295	44	67.79388084
305	52	74.32542927
