"depth_min"	"depth_max"	"density"	"Pb210ex"	"Pb210ex_er"	"Cs137"	"Cs137_er"
0	20	0.0358	660.838691	187.399397	31.630613	9.4354039
20	40	0.05065	790.526666	188.140229	26.171744	7.2853427
40	60	0.0479	719.761089	168.194338	27.838588	6.1571176
60	80	0.049	583.671538	144.308252	31.567333	5.868432
80	100	0.0632	438.521824	102.3462754	37.529608	5.7331974
100	120	0.0635	328.544969	89.4161592	42.268965	6.8989353
120	140	0.0537	314.118577	82.5958765	32.117417	5.9281047
140	160	0.0781	288.619039	76.8118852	38.48356	6.2570199
160	180	0.0931	196.653717	57.6443937	49.005944	7.0072694
180	200	0.11835	128.669637	43.7343712	65.497401	8.6653228
200	220	0.14625	60.395426	30.3274186	62.580787	7.9934014
220	240	0.14425	43.9836032	25.8888584	50.701486	6.8309313
240	260	0.15655	62.0173849	26.4079361	33.133959	4.4804356
260	280	0.1893	24.7488137	18.5536168	17.812172	2.810595
280	300	0.1428	16.221436	22.7123189	7.5214229	2.1008205
300	320	0.1738	11.85005	19.0954532	5.1633504	1.8208504
320	330	0.611	5.981613	12.9493915	2.86557	1.0311402
