"depth_avg_mm" "mass_depth_g.cm.2" "BestAD_CIC" "MinAD_CIC" "MaxAD_CIC" "MAR_CIC_g.cm.2.yr" "MAR_CIC_err_g.cm.2.yr"
0 0 2019 2019 2019 0 0
5 0.0179 2019 2012.54885013474 2025.45114986526 0 0
10 0.0358 2019 2006.09770026948 2031.90229973052 0 0
15 0.0574125 2020.44122654222 2007.78686105516 2033.09559202928 -0.00439295961774519 0.0133805342354645
20 0.079025 2021.88245308444 2009.47602184084 2034.28888432804 -0.00878591923549038 0.0267610684709291
25 0.1006375 2023.32367962666 2011.16518262652 2035.48217662681 -0.0131788788532356 0.0401416027063936
30 0.12225 2024.76490616888 2012.8543434122 2036.67546892557 -0.0175718384709808 0.0535221369418581
35 0.1468875 2024.0106308715 2012.12225577285 2035.89900597016 -0.00524079574118051 0.084294072741201
40 0.171525 2023.25635557412 2011.39016813349 2035.12254301474 0.00709024698861975 0.115066008540544
45 0.1961625 2022.50208027673 2010.65808049414 2034.34608005933 0.01942128971842 0.145837944339887
50 0.2208 2021.74780497935 2009.92599285478 2033.56961710392 0.0317523324482203 0.17660988013923
55 0.245025 2020.06214021842 2008.16978893276 2031.95449150408 0.027447830663814 0.14157510398242
60 0.26925 2018.37647545749 2006.41358501073 2030.33936590424 0.0231433288794077 0.106540327825611
65 0.293475 2016.69081069655 2004.6573810887 2028.7242403044 0.0188388270950015 0.071505551668801
70 0.3177 2015.00514593562 2002.90117716668 2027.10911470457 0.0145343253105952 0.0364707755119914
75 0.34575 2012.70541341522 2000.67342179271 2024.73740503772 0.0143359260877824 0.0336697867961827
80 0.3738 2010.40568089481 1998.44566641875 2022.36569537088 0.0141375268649696 0.0308687980803739
85 0.40185 2008.10594837441 1996.21791104479 2019.99398570403 0.0139391276421568 0.0280678093645652
90 0.4299 2005.80621585401 1993.99015567082 2017.62227603719 0.013740728419344 0.0252668206487564
95 0.461575 2003.48390615806 1991.46041847497 2015.50739384116 0.0137234797683736 0.0253181748893787
100 0.49325 2001.16159646212 1988.93068127911 2013.39251164513 0.0137062311174031 0.025369529130001
105 0.524925 1998.83928676618 1986.40094408326 2011.2776294491 0.0136889824664327 0.0254208833706233
110 0.5566 1996.51697707023 1983.8712068874 2009.16274725307 0.0136717338154622 0.0254722376112456
115 0.5859 1996.15581974099 1983.56087766608 2008.7507618159 0.0288398830919569 0.247348872595167
120 0.6152 1995.79466241175 1983.25054844477 2008.33877637872 0.0440080323684516 0.469225507579088
125 0.6445 1995.4335050825 1982.94021922345 2007.92679094155 0.0591761816449463 0.691102142563009
130 0.6738 1995.07234775326 1982.62989000214 2007.51480550438 0.074344330921441 0.912978777546929
135 0.70675 1994.39140167085 1981.93139660848 2006.85140673322 0.0700949192611455 0.777613979352389
140 0.7397 1993.71045558843 1981.23290321481 2006.18800796205 0.0658455076008499 0.642249181157848
145 0.77265 1993.02950950602 1980.53440982115 2005.52460919089 0.0615960959405544 0.506884382963307
150 0.8056 1992.34856342361 1979.83591642749 2004.86121041973 0.0573466842802588 0.371519584768767
155 0.8484 1989.26275065773 1976.59750406602 2001.92799724944 0.0467813048869531 0.284179738623292
160 0.8912 1986.17693789185 1973.35909170454 1998.99478407915 0.0362159254936475 0.196839892477818
165 0.934 1983.09112512597 1970.12067934307 1996.06157090887 0.0256505461003418 0.109500046332344
170 0.9768 1980.00531236009 1966.88226698159 1993.12835773858 0.0150851667070361 0.0221602001868691
175 1.0296625 1976.59349150526 1963.19016937815 1989.99681363237 0.0156499028082437 0.0227736937097115
180 1.082525 1973.18167065042 1959.4980717747 1986.86526952615 0.0162146389094514 0.023387187232554
185 1.1353875 1969.76984979559 1955.80597417125 1983.73372541993 0.016779375010659 0.0240006807553964
190 1.18825 1966.35802894076 1952.1138765678 1980.60218131372 0.0173441111118666 0.0246141742782389
195 1.2544 1960.27480940812 1944.95218719281 1975.59743162343 0.0160132765382412 0.0213499146272907
200 1.32055 1954.19158987548 1937.79049781782 1970.59268193314 0.0146824419646157 0.0180856549763425
205 1.3867 1948.10837034284 1930.62880844283 1965.58793224286 0.0133516073909902 0.0148213953253944
210 1.45285 1942.0251508102 1923.46711906784 1960.58318255257 0.0120207728173647 0.0115571356744462
215 1.525475 1939.47473607207 1920.29993043298 1958.64954171116 0.0160855081742055 0.0281027192384182
220 1.5981 1936.92432133394 1917.13274179812 1956.71590086975 0.0201502435310463 0.0446483028023903
225 1.670725 1934.3739065958 1913.96555316326 1954.78226002834 0.0242149788878871 0.0611938863663623
230 1.74335 1931.82349185766 1910.79836452839 1952.84861918694 0.0282797142447278 0.0777394699303344
235 1.81855 1934.58705780356 1914.70208106477 1954.47203454235 0.0141288075621207 0.0754106541419455
240 1.89375 1937.35062374946 1918.60579760114 1956.09544989777 -2.20991204864483e-05 0.0730818383535566
245 1.96895 1940.11418969535 1922.50951413751 1957.71886525319 -0.0141730058030936 0.0707530225651678
250 2.04415 1942.87775564125 1926.41323067388 1959.34228060861 -0.0283239124857007 0.0684242067767789
255 2.1306125 1935.48913388479 1916.69248644706 1954.28578132253 -0.0180403749722846 0.0546340078544091
260 2.217075 1928.10051212834 1906.97174222023 1949.22928203644 -0.00775683745886853 0.0408438089320393
265 2.3035375 1920.71189037188 1897.25099799341 1944.17278275036 0.00252670005454758 0.0270536100096696
270 2.39 1913.32326861543 1887.53025376658 1939.11628346428 0.0128102375679637 0.0132634110872998
275 2.473025 1909.92554119248 1879.08959095523 1940.76149142973 0.0148611896493827 0.0303212760162123
280 2.55605 1906.52781376953 1870.64892814387 1942.40669939518 0.0169121417308018 0.0473791409451248
285 2.639075 1903.13008634657 1862.20826533251 1944.05190736064 0.0189630938122209 0.0644370058740373
290 2.7221 1899.73235892362 1853.76760252115 1945.69711532609 0.0210140458936399 0.0814948708029498
295 2.80125 1897.20683713196 1849.57219945717 1944.84147480676 0.0243627171738188 0.120631618751792
300 2.8804 1894.68131534031 1845.37679639319 1943.98583428743 0.0277113884539976 0.159768366700633
305 2.95955 1892.15579354865 1841.18139332921 1943.13019376809 0.0310600597341765 0.198905114649475
310 3.0387 1889.63027175699 1836.98599026523 1942.27455324876 0.0344087310143553 0.238041862598317
315 3.19846666666667 1882.29887419367 1823.78663278825 1940.81111559908 NA NA
320 3.35823333333333 1874.96747663034 1810.58727531128 1939.34767794939 NA NA
325 3.518 1867.63607906701 1797.38791783431 1937.88424029971 NA NA
