"name"	"coring_yr"	"date_computation"	"model_tested"	"Chernobyl"	"NWT"	"Hemisphere"	"FF"	"inst_deposit"	"ignore_depths"	"historic_depth"	"historic_age"	"historic_name"	"suppdescriptor"	"descriptor_lab"	"varves"	"sedchange"	"SML"	"age_forced_CRS_pw"	"depth_forced_CRS_pw"
"TL08"	"2019"	"2022-02-21 14:31:38"	"CFCS, CRS, CRS_pw"	NA	"160, 180"	"NH"	NA	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm, LOI550"	"FALSE"	"0"	"0"	"1986"	NA
"TL08"	"2019"	"2022-02-21 14:32:42"	"CFCS, CRS"	NA	"160, 180"	"NH"	NA	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm, LOI550"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-02-21 14:42:32"	"CFCS, CRS"	NA	"160, 180"	"NH"	NA	"0"	NA	"275, 280"	"1929"	"1929 tsunami"	"TRUE"	"# sand >0.25 mm, LOI550"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-02-21 14:46:40"	"CFCS, CRS, CIC"	NA	"160, 180"	"NH"	NA	"0"	NA	"275, 280"	"1929"	"1929 tsunami"	"TRUE"	"# sand >0.25 mm, LOI550"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-02-21 14:55:18"	"CFCS, CRS, CIC"	NA	"160, 180"	"NH"	NA	"0"	NA	"275, 280"	"1929"	"1929 tsunami"	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-02-21 15:02:48"	"CFCS, CRS, CIC"	NA	"160, 180"	"NH"	NA	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-02-21 15:14:19"	"CFCS, CRS, CIC"	NA	"160, 180"	"NH"	NA	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-02-21 15:27:11"	"CFCS, CRS, CIC"	NA	"160, 180"	"NH"	"250, 270"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-02-21 15:27:29"	"CFCS, CRS, CIC"	NA	"160, 180"	"NH"	"250, 270"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-02-21 15:27:58"	"CFCS, CRS, CIC"	NA	"160, 180"	"NH"	"230, 250"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-02-21 15:28:55"	"CFCS, CRS, CIC"	NA	"160, 180"	"NH"	"210, 230"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-02-21 15:53:53"	"CFCS, CRS, CIC"	NA	"160, 180"	"NH"	"210, 230"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-02-21 15:54:04"	"CFCS, CRS, CIC"	NA	"160, 180"	"NH"	"210, 230"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-02-21 15:55:08"	"CFCS, CRS, CIC"	NA	"160, 180"	"NH"	"210, 230"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-02-21 16:28:37"	"CFCS"	NA	"160, 180"	"NH"	"210, 230"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-02-21 16:35:18"	"CFCS, CRS"	NA	"160, 180"	"NH"	"210, 230"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-03-11 11:41:04"	"CFCS, CRS, CIC"	NA	"160, 180"	"NH"	"210, 230"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-03-11 11:46:32"	"CFCS, CRS"	NA	"160, 180"	"NH"	"200, 240"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-03-11 12:08:31"	"CFCS, CRS, CIC"	NA	"160, 180"	"NH"	"200, 240"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-03-11 12:13:14"	"CFCS, CRS"	NA	"160, 180"	"NH"	"200, 240"	"0"	NA	NA	NA	NA	"TRUE"	"# sand >0.25 mm"	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-03-11 12:26:06"	"CFCS, CRS, CIC"	NA	"160, 200"	"NH"	"200, 240"	"0"	NA	"275, 280"	"1929"	NA	"TRUE"	NA	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-03-11 12:26:39"	"CFCS, CRS, CIC"	NA	"160, 200"	"NH"	"200, 240"	"0"	NA	"275, 280"	"1929"	NA	"TRUE"	NA	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-03-11 16:36:16"	"CFCS, CRS, CIC"	NA	"160, 200"	"NH"	"200, 240"	"0"	NA	"275, 280"	"1929"	NA	"TRUE"	NA	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-03-11 16:39:24"	"CFCS, CRS, CIC"	NA	"160, 200"	"NH"	"200, 240"	"0"	NA	"275, 280"	"1929"	NA	"TRUE"	NA	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-03-11 16:45:09"	"CFCS, CRS, CIC"	NA	"160, 200"	"NH"	"200, 240"	"0"	NA	"275, 280"	"1929"	NA	"TRUE"	NA	"FALSE"	"0"	"0"	NA	NA
"TL08"	"2019"	"2022-05-10 11:52:43"	"CFCS, CRS, CIC"	NA	"160, 200"	"NH"	"200, 240"	"0"	NA	"275, 280"	"1929"	NA	"TRUE"	NA	"FALSE"	"0"	"0"	NA	NA
