"depth_avg_mm" "mass_depth_g.cm.2" "BestAD" "MinAD" "MaxAD" "MAR_g.cm.2.yr" "MAR_err_g.cm.2.yr"
0 0 2019 2019 2019 0.03256296621339 0.00158532638300535
5 0.015025 2018.5385862608 2018.51612235596 2018.56105016564 0.03256296621339 0.00158532638300535
10 0.03005 2018.0771725216 2018.03224471192 2018.12210033127 0.03256296621339 0.00158532638300535
15 0.045075 2017.6157587824 2017.54836706788 2017.68315049691 0.03256296621339 0.00158532638300535
20 0.0601 2017.1543450432 2017.06448942385 2017.24420066254 0.03256296621339 0.00158532638300535
25 0.0945 2016.09793022599 2015.95664310405 2016.23921734793 0.03256296621339 0.00158532638300535
30 0.1289 2015.04151540878 2014.84879678426 2015.23423403331 0.03256296621339 0.00158532638300535
35 0.1633 2013.98510059158 2013.74095046446 2014.22925071869 0.03256296621339 0.00158532638300535
40 0.1977 2012.92868577437 2012.63310414467 2013.22426740408 0.03256296621339 0.00158532638300535
45 0.24086875 2011.60298498541 2011.24286167904 2011.96310829178 0.03256296621339 0.00158532638300535
50 0.2840375 2010.27728419645 2009.85261921341 2010.70194917949 0.03256296621339 0.00158532638300535
55 0.32720625 2008.95158340749 2008.46237674778 2009.4407900672 0.03256296621339 0.00158532638300535
60 0.370375 2007.62588261853 2007.07213428215 2008.17963095491 0.03256296621339 0.00158532638300535
65 0.41726875 2006.18578807392 2005.5619288066 2006.80964734125 0.03256296621339 0.00158532638300535
70 0.4641625 2004.74569352932 2004.05172333105 2005.43966372759 0.03256296621339 0.00158532638300535
75 0.51105625 2003.30559898472 2002.5415178555 2004.06968011394 0.03256296621339 0.00158532638300535
80 0.55795 2001.86550444012 2001.03131237995 2002.69969650028 0.03256296621339 0.00158532638300535
85 0.60726875 2000.35093879285 1999.44301017982 2001.25886740587 0.03256296621339 0.00158532638300535
90 0.6565875 1998.83637314558 1997.8547079797 1999.81803831146 0.03256296621339 0.00158532638300535
95 0.70590625 1997.32180749831 1996.26640577957 1998.37720921704 0.03256296621339 0.00158532638300535
100 0.755225 1995.80724185104 1994.67810357944 1996.93638012263 0.03256296621339 0.00158532638300535
105 0.81229375 1994.05467577257 1992.84021390901 1995.26913763612 0.03256296621339 0.00158532638300535
110 0.8693625 1992.30210969409 1991.00232423858 1993.60189514961 0.03256296621339 0.00158532638300535
115 0.92643125 1990.54954361562 1989.16443456815 1991.93465266309 0.03256296621339 0.00158532638300535
120 0.9835 1988.79697753715 1987.32654489772 1990.26741017658 0.03256296621339 0.00158532638300535
125 1.04653125 1986.86130467532 1985.29663389933 1988.42597545131 0.03256296621339 0.00158532638300535
130 1.1095625 1984.92563181349 1983.26672290094 1986.58454072603 0.03256296621339 0.00158532638300535
135 1.17259375 1982.98995895166 1981.23681190255 1984.74310600076 0.03256296621339 0.00158532638300535
140 1.235625 1981.05428608982 1979.20690090416 1982.90167127549 0.03256296621339 0.00158532638300535
145 1.30045 1979.06352764432 1977.11922248321 1981.00783280543 0.03256296621339 0.00158532638300535
150 1.365275 1977.07276919881 1975.03154406226 1979.11399433537 0.03256296621339 0.00158532638300535
155 1.4301 1975.08201075331 1972.94386564131 1977.22015586531 0.03256296621339 0.00158532638300535
160 1.494925 1973.0912523078 1970.85618722036 1975.32631739525 0.03256296621339 0.00158532638300535
165 1.560125 1971.0889777124 1968.75643198633 1973.42152343848 0.03256296621339 0.00158532638300535
170 1.625325 1969.086703117 1966.6566767523 1971.5167294817 0.03256296621339 0.00158532638300535
175 1.690525 1967.0844285216 1964.55692151827 1969.61193552493 0.03256296621339 0.00158532638300535
180 1.755725 1965.0821539262 1962.45716628424 1967.70714156815 0.03256296621339 0.00158532638300535
185 1.8239 1962.98851787495 1960.26160166645 1965.71543408345 0.03256296621339 0.00158532638300535
190 1.892075 1960.8948818237 1958.06603704866 1963.72372659874 0.03256296621339 0.00158532638300535
195 1.96025 1958.80124577245 1955.87047243087 1961.73201911403 0.03256296621339 0.00158532638300535
200 2.028425 1956.7076097212 1953.67490781307 1959.74031162932 0.03256296621339 0.00158532638300535
205 2.09714375 1954.5972752526 1951.46183181632 1957.73271868887 0.03256296621339 0.00158532638300535
210 2.1658625 1952.48694078399 1949.24875581956 1955.72512574843 0.03256296621339 0.00158532638300535
215 2.23458125 1950.37660631539 1947.03567982281 1953.71753280798 0.03256296621339 0.00158532638300535
220 2.3033 1948.26627184679 1944.82260382605 1951.70993986754 0.03256296621339 0.00158532638300535
225 2.3666 1946.3223457442 1942.78403777829 1949.86065371012 0.03256296621339 0.00158532638300535
230 2.4299 1944.37841964161 1940.74547173052 1948.0113675527 0.03256296621339 0.00158532638300535
235 2.4932 1942.43449353902 1938.70690568276 1946.16208139528 0.03256296621339 0.00158532638300535
240 2.5565 1940.49056743643 1936.668339635 1944.31279523786 0.03256296621339 0.00158532638300535
245 2.6183875 1938.59001883178 1934.6752629165 1942.50477474706 0.03256296621339 0.00158532638300535
250 2.680275 1936.68947022714 1932.682186198 1940.69675425627 0.03256296621339 0.00158532638300535
255 2.7421625 1934.78892162249 1930.68910947951 1938.88873376547 0.03256296621339 0.00158532638300535
260 2.80405 1932.88837301784 1928.69603276101 1937.08071327468 0.03256296621339 0.00158532638300535
265 2.8687625 1930.90106941731 1926.61197738398 1935.19016145063 0.03256296621339 0.00158532638300535
270 2.933475 1928.91376581677 1924.52792200695 1933.29960962659 0.03256296621339 0.00158532638300535
275 2.9981875 1926.92646221624 1922.44386662993 1931.40905780254 0.03256296621339 0.00158532638300535
280 3.0629 1924.9391586157 1920.3598112529 1929.5185059785 0.03256296621339 0.00158532638300535
285 3.12993125 1922.88064682163 1918.201080915 1927.56021272827 0.03256296621339 0.00158532638300535
290 3.1969625 1920.82213502757 1916.0423505771 1925.60191947804 0.03256296621339 0.00158532638300535
295 3.26399375 1918.76362323351 1913.8836202392 1923.64362622781 0.03256296621339 0.00158532638300535
300 3.331025 1916.70511143944 1911.7248899013 1921.68533297758 0.03256296621339 0.00158532638300535
305 3.40075625 1914.56368336612 1909.47920650923 1919.64816022301 0.03256296621339 0.00158532638300535
310 3.4704875 1912.4222552928 1907.23352311716 1917.61098746843 0.03256296621339 0.00158532638300535
315 3.54021875 1910.28082721947 1904.98783972509 1915.57381471386 0.03256296621339 0.00158532638300535
320 3.60995 1908.13939914615 1902.74215633302 1913.53664195928 0.03256296621339 0.00158532638300535
325 3.6814 1905.94518871913 1900.441120881 1911.44925655727 0.03256296621339 0.00158532638300535
330 3.75285 1903.75097829212 1898.14008542899 1909.36187115525 0.03256296621339 0.00158532638300535
335 3.75285 1903.75097829212 1898.14008542899 1909.36187115525 0.03256296621339 0.00158532638300535
340 3.75285 1903.75097829212 1898.14008542899 1909.36187115525 0.03256296621339 0.00158532638300535
