"depth_min"	"depth_max"	"thickness"	"density"	"Pb210ex"	"Pb210ex_er"	"Cs137"	"Cs137_er"
0	20	20	0.0601	1233.12	273.82	37.89	5.97
20	40	20	0.0775	1179.26	261.36	44.83	8.33
40	60	20	0.095175	935.62	208.36	47.99	7.46
60	80	20	0.0924	733.04	181.33	55.15	10.14
80	100	20	0.104875	608.34	147.1	52.72	8.61
100	120	20	0.1234	457.47	114.93	61.54	9.25
120	140	20	0.128725	252.15	75.78	84.11	10.97
140	160	20	0.130575	206.47	57.41	121.15	15.1
160	180	20	0.130225	120.98	51.92	147.68	18.73
180	200	20	0.142475	148.36	51.74	139.58	17.6
200	220	20	0.1324	141.02	52.2	99.33	12.48
220	240	20	0.1208	101.36	47.8	33.94	5.63
240	260	20	0.12675	68.8	42.68	12.73	3.38
260	280	20	0.1321	70.43	41.41	12.75	3.65
280	300	20	0.136025	48.14	36.14	3.6	2.39
300	320	20	0.1429	34.92	32.26	5.91	2.4
320	340	20	0.13875	38.92	41.22	4.42	2.79
