"depth_avg_mm" "mass_depth_g.cm.2" "BestAD" "MinAD" "MaxAD" "MAR_g.cm.2.yr" "MAR_err_g.cm.2.yr"
0 0 2019 2019 2019 0.03256296621339 0.00158532638300535
20 0.0601 2017.1543450432 2017.06448942385 2017.24420066254 0.03256296621339 0.00158532638300535
40 0.1977 2012.92868577437 2012.63310414467 2013.22426740408 0.03256296621339 0.00158532638300535
60 0.370375 2007.62588261853 2007.07213428215 2008.17963095491 0.03256296621339 0.00158532638300535
80 0.55795 2001.86550444012 2001.03131237995 2002.69969650028 0.03256296621339 0.00158532638300535
100 0.755225 1995.80724185104 1994.67810357944 1996.93638012263 0.03256296621339 0.00158532638300535
120 0.9835 1988.79697753715 1987.32654489772 1990.26741017658 0.03256296621339 0.00158532638300535
140 1.235625 1981.05428608982 1979.20690090416 1982.90167127549 0.03256296621339 0.00158532638300535
160 1.494925 1973.0912523078 1970.85618722036 1975.32631739525 0.03256296621339 0.00158532638300535
180 1.755725 1965.0821539262 1962.45716628424 1967.70714156815 0.03256296621339 0.00158532638300535
200 2.028425 1956.7076097212 1953.67490781307 1959.74031162932 0.03256296621339 0.00158532638300535
220 2.3033 1948.26627184679 1944.82260382605 1951.70993986754 0.03256296621339 0.00158532638300535
240 2.5565 1940.49056743643 1936.668339635 1944.31279523786 0.03256296621339 0.00158532638300535
260 2.80405 1932.88837301784 1928.69603276101 1937.08071327468 0.03256296621339 0.00158532638300535
280 3.0629 1924.9391586157 1920.3598112529 1929.5185059785 0.03256296621339 0.00158532638300535
300 3.331025 1916.70511143944 1911.7248899013 1921.68533297758 0.03256296621339 0.00158532638300535
320 3.60995 1908.13939914615 1902.74215633302 1913.53664195928 0.03256296621339 0.00158532638300535
330 3.75285 1903.75097829212 1898.14008542899 1909.36187115525 0.03256296621339 0.00158532638300535
340 3.75285 1903.75097829212 1898.14008542899 1909.36187115525 0.03256296621339 0.00158532638300535
