ageAD,depth,DBD,mass_depth
2018.1493587497303,0.25,0.03480000000000061,0.019937499999999997
2016.4480762491912,0.75,0.05540000000000056,0.039874999999999994
2014.7467937486522,1.25,0.04739999999999966,0.05981249999999999
2013.045511248113,1.75,0.04879999999999995,0.07974999999999999
2011.3442287475737,2.25,0.06780000000000008,0.09968749999999998
2009.6429462470346,2.75,0.06460000000000043,0.11962499999999998
2007.9416637464954,3.25,0.07840000000000025,0.13956249999999998
2006.240381245956,3.75,0.08129999999999882,0.15949999999999998
2003.6783244645799,4.25,0.07670000000000066,0.19961249999999997
2000.2554934023667,4.75,0.08249999999999957,0.23972499999999997
1996.8326623401533,5.25,0.08370000000000033,0.27983749999999996
1993.4098312779402,5.75,0.07989999999999942,0.31994999999999996
1989.9752672329646,6.25,0.0713999999999988,0.3603375
1986.5289702052264,6.75,0.07639999999999958,0.40072499999999994
1983.0826731774887,7.25,0.08469999999999978,0.4411124999999999
1979.6363761497505,7.75,0.09089999999999954,0.48149999999999993
1976.218611602821,8.25,0.07179999999999964,0.52121875
1972.8293795367,8.75,0.08360000000000056,0.5609374999999999
1969.440147470579,9.25,0.07910000000000039,0.6006562499999999
1966.0509154044578,9.75,0.07760000000000034,0.6403749999999999
1962.6534169186632,10.25,0.08430000000000071,0.6802874999999999
1959.2476520131952,10.75,0.08000000000000007,0.7202
1955.841887107727,11.25,0.07840000000000025,0.7601125
1952.436122202259,11.75,0.0838000000000001,0.800025
1949.0250241228082,12.25,0.08569999999999922,0.8400624999999999
1945.6085928693742,12.75,0.07949999999999946,0.8801
1942.1921616159402,13.25,0.07120000000000104,0.9201375
1938.7757303625067,13.75,0.0777000000000001,0.960175
1935.3038340996509,14.25,0.07779999999999987,1.0015125
1931.7764728273728,14.75,0.08270000000000088,1.04285
1928.2491115550952,15.25,0.0943000000000005,1.0841874999999999
1924.7217502828175,15.75,0.09249999999999936,1.1255249999999999
1921.1594567209518,16.25,0.08230000000000004,1.1676812499999998
1917.5622308694983,16.75,0.08489999999999931,1.2098375
1913.9650050180448,17.25,0.08170000000000144,1.2519937499999998
1910.3677791665914,17.75,0.07830000000000048,1.2941499999999997
1906.720954797097,18.25,0.09580000000000057,1.3374687499999998
1903.024531909562,18.75,0.09020000000000115,1.3807874999999998
1899.328109022027,19.25,0.08729999999999905,1.4241062499999997
1895.6316861344917,19.75,0.09260000000000002,1.4674249999999998
1891.8480658523365,20.25,0.08610000000000007,1.5127874999999997
1887.9772481755613,20.75,0.07709999999999972,1.55815
1884.1064304987858,21.25,0.0984999999999996,1.6035125
1880.2356128220106,21.75,0.0981999999999994,1.6488749999999999
1876.0378715800846,22.25,0.09699999999999952,1.7018999999999997
1871.513206773008,22.75,0.11080000000000112,1.7549249999999998
1866.9885419659313,23.25,0.1424000000000003,1.80795
1862.4638771588548,23.75,0.1382999999999992,1.8609749999999998
1857.596289264679,24.25,0.13230000000000075,1.9220374999999998
1852.3857782834039,24.75,0.1166999999999998,1.9830999999999999
1849.7805227927663,25.25,0.09399999999999942,2.0300999999999996
1841.7423629657674,25.75,0.09440000000000026,2.0772999999999997
1837.595286876679,26.25,0.09719999999999906,2.1258999999999992
1832.9362260852338,26.75,0.1092000000000004,2.1804999999999994
1828.929945789293,27.25,0.09390000000000144,2.22745
1824.7828697002046,27.75,0.09719999999999906,2.2760499999999997
1821.0155155986972,28.25,0.08830000000000027,2.3202
1816.7532429515784,28.75,0.09989999999999988,2.3701499999999998
1812.2093787181634,29.25,0.10650000000000048,2.4234
1807.5545844659046,29.75,0.10909999999999977,2.47795
1803.1515160256376,30.25,0.10319999999999928,2.5295499999999995
1798.8465779866558,30.75,0.10089999999999932,2.579999999999999
1794.2387156654463,31.25,0.10800000000000054,2.6339999999999995
1788.6751485665043,31.75,0.13039999999999985,2.6991999999999994
1783.8667589035385,32.25,0.11269999999999848,2.7555499999999986
1779.1778323377891,32.75,0.10989999999999966,2.8104999999999984
1774.6809000354237,33.25,0.1053999999999995,2.863199999999998
1769.9194423035071,33.75,0.11160000000000105,2.9189999999999987
1764.6374667908615,34.25,0.12379999999999924,2.9808999999999983
1758.6813780867794,34.75,0.13959999999999972,3.050699999999998
1752.674090912462,35.25,0.14080000000000048,3.1210999999999984
1739.9555375980863,35.75,0.2980999999999998,3.2701499999999983
1732.2715005235507,36.25,0.18009999999999948,3.360199999999998
1726.289812584351,36.75,0.1402000000000001,3.430299999999998
1719.774807246863,37.25,0.1526999999999994,3.506649999999998
1713.259801909375,37.75,0.15270000000000117,3.5829999999999984
1706.6935981016516,38.25,0.15390000000000015,3.6599499999999985
1698.8090336853597,38.75,0.1847999999999992,3.752349999999998
1692.8486784420916,39.25,0.1396999999999995,3.822199999999998
1685.8046222455018,39.75,0.1650999999999998,3.9047499999999977
1678.5557721679693,40.25,0.16990000000000016,3.989699999999998
1670.7864043097077,40.75,0.18210000000000015,4.080749999999998
1660.849634544803,41.25,0.23290000000000077,4.197199999999999
1651.4888475700495,41.75,0.21940000000000023,4.306899999999999
1639.2438801053538,42.25,0.28699999999999903,4.450399999999998
1629.695365406403,42.75,0.2238000000000007,4.562299999999999
