AgeTop,AgeBot
-69,-68.59619244813689
-68.59619244813689,-68.19238489627378
-68.19238489627378,-67.78857734441067
-67.78857734441067,-67.17624177531047
-67.17624177531047,-66.14685017173633
-66.14685017173633,-64.90893055092488
-64.90893055092488,-63.671010930113425
-63.671010930113425,-62.3458527629864
-62.3458527629864,-60.84621750322776
-60.84621750322776,-59.25934369715333
-59.25934369715333,-57.67246989107889
-57.67246989107889,-56.09258188282365
-56.09258188282365,-54.526665470207035
-54.526665470207035,-51.408804240612426
-51.408804240612426,-49.854328524938865
-49.854328524938865,-48.308762607512335
-48.308762607512335,-46.767651589209436
-46.767651589209436,-45.226540570906764
-45.226540570906764,-43.70401100192862
-43.70401100192862,-42.21864433159999
-42.21864433159999,-40.75185911059589
-40.75185911059589,-39.28507388959201
-39.28507388959201,-37.82828313792629
-37.82828313792629,-36.39148132493665
-36.39148132493665,-34.96467398128539
-34.96467398128539,-33.537866637634124
-33.537866637634124,-32.106875562631785
-32.106875562631785,-30.667517024927747
-30.667517024927747,-29.223974755873087
-29.223974755873087,-27.780432486818427
-27.780432486818427,-26.319264312535324
-26.319264312535324,-24.822844327796247
-24.822844327796247,-23.308798437829182
-23.308798437829182,-21.794752547862117
-21.794752547862117,-20.277994980167477
-20.277994980167477,-18.755814057018142
-18.755814057018142,-17.23092145614146
-17.23092145614146,-15.706028855264549
-15.706028855264549,-14.17203276487453
-14.17203276487453,-12.61982969545761
-12.61982969545761,-11.058523136527128
-11.058523136527128,-9.497216577596646
-9.497216577596646,-7.912969225092411
-7.912969225092411,-6.282840285440443
-6.282840285440443,-4.6297705522147226
-4.6297705522147226,-2.9767008189892294
-2.9767008189892294,-1.3093366703149059
-1.3093366703149059,0.3866163092570787
0.3866163092570787,2.096863704277439
2.096863704277439,3.8071110992980266
3.8071110992980266,5.519326397583427
5.519326397583427,7.235477502399135
7.235477502399135,8.524066758459867
8.524066758459867,9.84612586532694
9.84612586532694,11.681389351231473
11.681389351231473,13.543924567422891
13.543924567422891,15.424434333121326
15.424434333121326,17.27457330827292
17.27457330827292,19.05963201796726
19.05963201796726,20.825476554050056
20.825476554050056,22.596279586548917
22.596279586548917,24.47183085583174
24.47183085583174,26.398826525428603
26.398826525428603,28.294831592426817
28.294831592426817,30.127615830123204
30.127615830123204,31.86928769617907
31.86928769617907,33.540920800361164
33.540920800361164,35.23548695046679
35.23548695046679,37.006909795017464
37.006909795017464,38.87068463531273
38.87068463531273,40.72392267072428
40.72392267072428,42.57716070613583
