AgeTop,AgeBot
-69,-67.67114008601766
-67.67114008601766,-66.0409797430616
-66.0409797430616,-63.808218542159466
-63.808218542159466,-61.268691953708185
-61.268691953708185,-58.71823544810513
-58.71823544810513,-56.181381258013744
-56.181381258013744,-53.68266161609745
-53.68266161609745,-51.11454260903065
-51.11454260903065,-48.3694903234873
-48.3694903234873,-45.61439689438862
-45.61439689438862,-43.01615445665652
-43.01615445665652,-40.53323384551186
-40.53323384551186,-38.124105896175934
-38.124105896175934,-35.38504128991735
-35.38504128991735,-31.912310708004043
-31.912310708004043,-28.038794018390035
-28.038794018390035,-24.097371089028
-24.097371089028,-20.048118541384383
-20.048118541384383,-15.851112996925849
-15.851112996925849,-11.867588359994443
-11.867588359994443,-8.458778534931753
-8.458778534931753,-5.445971156840187
-5.445971156840187,-2.6504538608212442
-2.6504538608212442,0.6756547978825438
0.6756547978825438,5.280236264028417
5.280236264028417,10.04056222188683
10.04056222188683,13.833904355728464
13.833904355728464,16.798322699907885
16.798322699907885,19.071877288780797
19.071877288780797,20.517969322195313
20.517969322195313,21
21,21
21,21
