location,cmTop,cmBot,depth,DBD,LOI,Sand
tl27_1,0,0.5,0.25,0.014899999999999025,48.99328859,0
tl27_1,0.5,1,0.75,0.04720000000000013,51.27118644,0
tl27_1,1,1.5,1.25,0.10129999999999839,47.77887463,0
tl27_1,1.5,2,1.75,0.09719999999999906,49.07407407,2
tl27_1,2,2.5,2.25,0.12380000000000013,42.24555735,2
tl27_1,2.5,3,2.75,0.14860000000000007,39.90578735,0
tl27_1,3,3.5,3.25,0.12909999999999933,41.28582494,0
tl27_1,3.5,4,3.75,0.13680000000000092,42.25146199,0
tl27_1,4,4.5,4.25,0.11029999999999873,42.52039891,2
tl27_1,4.5,5,4.75,0.1357999999999997,42.19440353,4
tl27_1,5,5.5,5.25,0.12449999999999939,40.72289157,0
tl27_1,5.5,6,5.75,0.11519999999999975,44.87847222,0
tl27_1,6,6.5,6.25,0.13319999999999865,42.94294294,0
tl27_1,6.5,7.5,7,0.13149999999999906,42.28136882,0
tl27_1,7.5,8,7.75,0.1255000000000006,43.26693227,0
tl27_1,8,8.5,8.25,0.12300000000000022,45.28455285,0
tl27_1,8.5,9,8.75,0.11630000000000074,47.5494411,0
tl27_1,9,9.5,9.25,0.11630000000000074,49.09716251,0
tl27_1,9.5,10,9.75,0.1186999999999987,50.29486099,0
tl27_1,10,10.5,10.25,0.12829999999999941,48.63600935,0
tl27_1,10.5,11,10.75,0.11479999999999979,49.47735192,2
tl27_1,11,11.5,11.25,0.11209999999999987,47.72524532,0
tl27_1,11.5,12,11.75,0.11710000000000065,47.48078565,0
tl27_1,12,12.5,12.25,0.11630000000000074,49.4411006,0
tl27_1,12.5,13,12.75,0.10749999999999993,49.86046512,0
tl27_1,13,13.5,13.25,0.1097999999999999,48.90710383,0
tl27_1,13.5,14,13.75,0.11490000000000045,50.47867711,0
tl27_1,14,14.5,14.25,0.11800000000000033,50.93220339,0
tl27_1,14.5,15,14.75,0.1225000000000005,51.34693878,0
tl27_1,15,15.5,15.25,0.1189,50.21026072,0
tl27_1,15.5,16,15.75,0.12369999999999948,48.9894907,0
tl27_1,16,16.5,16.25,0.11749999999999972,49.70212766,0
tl27_1,16.5,17,16.75,0.12119999999999997,48.67986799,0
tl27_1,17,17.5,17.25,0.12959999999999994,48.45679012,0
tl27_1,17.5,18,17.75,0.12570000000000014,50.67621321,16
tl27_1,18,18.5,18.25,0.1377000000000006,50.32679739,2
tl27_1,18.5,19,18.75,0.11960000000000015,53.51170569,0
tl27_1,19,19.5,19.25,0.11630000000000074,56.14789338,0
tl27_1,19.5,20,19.75,0.11650000000000027,55.53648069,0
tl27_1,20,20.5,20.25,0.12469999999999892,61.50761828,0
tl27_1,20.5,21,20.75,0.11819999999999986,68.02030457,0
tl27_1,21,21.5,21.25,0.13100000000000023,61.83206107,2
tl27_1,21.5,22,21.75,0.14359999999999928,59.61002786,0
tl27_1,22,22.5,22.25,0.13199999999999967,57.12121212,0
tl27_1,22.5,23,22.75,0.13450000000000095,57.91821561,0
tl27_1,23,23.5,23.25,0.1391,58.30337886,0
tl27_1,23.5,24,23.75,0.14370000000000083,58.24634656,4
tl27_1,24,24.5,24.25,0.14039999999999964,60.54131054,2
tl27_1,24.5,25,24.75,0.14369999999999905,60.96033403,2
tl27_1,25,25.5,25.25,0.1413000000000011,61.07572541,2
tl27_1,25.5,26,25.75,0.12900000000000134,60.93023256,0
tl27_1,26,26.5,26.25,0.1446000000000005,61.54910097,0
tl27_1,26.5,27,26.75,0.1368999999999989,62.16216216,4
tl27_1,27,27.5,27.25,0.14749999999999996,62.91525424,0
tl27_1,27.5,28,27.75,0.14400000000000013,62.5,4
tl27_1,28,28.5,28.25,0.1520999999999999,62.85338593,6
tl27_1,28.5,29,28.75,0.14839999999999876,60.10781671,0
tl27_1,29,29.5,29.25,0.15500000000000114,59.35483871,0
tl27_1,29.5,30,29.75,0.14349999999999952,58.60627178,0
tl27_1,30,30.5,30.25,0.14449999999999896,60.96885813,0
tl27_1,30.5,31,30.75,0.14039999999999964,61.03988604,0
tl27_1,31,31.5,31.25,0.14530000000000065,62.76668961,0
tl27_1,31.5,32,31.75,0.1573000000000011,63.76350922,0
tl27_1,32,32.5,32.25,0.15359999999999907,60.28645833,0
tl27_1,32.5,33,32.75,0.15230000000000032,60.60407091,2
tl27_1,33,33.5,33.25,0.14339999999999975,60.25104603,2
tl27_1,33.5,34,33.75,0.13760000000000083,61.40988372,2
tl27_1,34,34.5,34.25,0.13209999999999944,67.82740348,0
tl27_1,34.5,35,34.75,0.14129999999999932,68.36518047,2
tl27_1,35,35.5,35.25,0.14450000000000074,71.83391003,2
tl27_1,35.5,36,35.75,0.15620000000000012,67.92573624,0
tl27_1,36,36.5,36.25,0.14279999999999937,70.65826331,0
