location,cmTop,cmBot,depth,DBD,LOI,Sand
tl08_02,0,0.5,0.25,0.02660000000000018,42.10526316,0
tl08_02,0.5,1,0.75,0.0693999999999999,39.33717579,0
tl08_02,1,1.5,1.25,0.07899999999999885,37.46835443,0
tl08_02,1.5,2,1.75,0.06539999999999857,39.44954128,0
tl08_02,2,2.5,2.25,0.07469999999999999,38.55421687,2
tl08_02,2.5,3,2.75,0.07290000000000063,38.54595336,2
tl08_02,3,3.5,3.25,0.07910000000000039,38.9380531,8
tl08_02,3.5,4,3.75,0.08330000000000126,38.29531813,16
tl08_02,4,4.5,4.25,0.08399999999999963,35.95238095,4
tl08_02,4.5,5,4.75,0.10319999999999929,37.40310078,6
tl08_02,5,5.5,5.25,0.09220000000000006,37.20173536,24
tl08_02,5.5,6,5.75,0.10130000000000017,39.09180652,2
tl08_02,6,6.5,6.25,0.08660000000000068,38.91454965,8
tl08_02,6.5,7,6.75,0.08760000000000012,38.12785388,18
tl08_02,7,7.5,7.25,0.0962000000000014,41.37214137,6
tl08_02,7.5,8,7.75,0.09919999999999973,43.04435484,4
tl08_02,8,8.5,8.25,0.08779999999999966,40.88838269,2
tl08_02,8.5,9,8.75,0.10060000000000002,41.25248509,8
tl08_02,9,9.5,9.25,0.10720000000000063,39.83208955,20
tl08_02,9.5,10,9.75,0.12390000000000079,37.93381759,18
tl08_02,10,10.5,10.25,0.1346999999999987,25.38975501,42
tl08_02,10.5,11,10.75,0.12780000000000058,25.89984351,54
tl08_02,11,11.5,11.25,0.11759999999999948,26.78571429,50
tl08_02,11.5,12,11.75,0.11350000000000016,26.51982379,50
tl08_02,12,12.5,12.25,0.11679999999999957,26.02739726,62
tl08_02,12.5,13,12.75,0.12719999999999843,26.17924528,24
tl08_02,13,13.5,13.25,0.12590000000000146,25.89356632,20
tl08_02,13.5,14,13.75,0.14499999999999957,24.4137931,62
tl08_02,14,14.5,14.25,0.13309999999999889,28.02404207,38
tl08_02,14.5,15,14.75,0.12769999999999904,29.75724354,20
tl08_02,15,15.5,15.25,0.13429999999999964,34.47505585,36
tl08_02,15.5,16,15.75,0.1272000000000002,34.43396226,10
tl08_02,16,16.5,16.25,0.13020000000000032,37.40399386,10
tl08_02,16.5,17,16.75,0.1264000000000003,36.78797468,16
tl08_02,17,17.5,17.25,0.1294999999999984,37.37451737,8
tl08_02,17.5,18,17.75,0.13480000000000025,37.83382789,2
tl08_02,18,18.5,18.25,0.1501999999999999,38.34886818,4
tl08_02,18.5,19,18.75,0.1374999999999993,36.21818182,20
tl08_02,19,19.5,19.25,0.13729999999999976,35.25127458,30
tl08_02,19.5,20,19.75,0.1448999999999998,36.02484472,18
tl08_02,20,20.5,20.25,0.13269999999999982,33.23285607,22
tl08_02,20.5,21,20.75,0.13640000000000008,37.09677419,36
tl08_02,21,21.5,21.25,0.1377000000000006,35.94771242,28
tl08_02,21.5,22,21.75,0.1227999999999998,43.64820847,6
tl08_02,22,22.5,22.25,0.11180000000000057,46.51162791,6
tl08_02,22.5,23,22.75,0.11960000000000015,47.99331104,0
tl08_02,23,23.5,23.25,0.1280000000000001,50.625,2
tl08_02,23.5,24,23.75,0.12379999999999924,50.56542811,0
tl08_02,24,24.5,24.25,0.13729999999999976,51.78441369,4
tl08_02,24.5,25,24.75,0.12689999999999912,50.74862096,6
tl08_02,25,25.5,25.25,0.12479999999999869,48.71794872,10
tl08_02,25.5,26,25.75,0.11800000000000033,51.10169492,32
tl08_02,26,26.5,26.25,0.126100000000001,54.40126883,40
tl08_02,26.5,27,26.75,0.12840000000000096,54.12772586,48
tl08_02,27,27.5,27.25,0.12439999999999962,54.34083601,38
tl08_02,27.5,28,27.75,0.14949999999999974,44.21404682,236
tl08_02,28,28.5,28.25,0.16389999999999993,44.78340451,190
tl08_02,28.5,29,28.75,0.12710000000000043,54.13060582,44
tl08_02,29,29.5,29.25,0.12229999999999919,53.88389207,84
tl08_02,29.5,30,29.75,0.1308000000000007,51.45259939,86
tl08_02,30,30.5,30.25,0.1429999999999989,54.54545455,104
tl08_02,30.5,31,30.75,0.14100000000000001,56.17021277,100
tl08_02,31,31.5,31.25,0.13519999999999932,61.16863905,44
tl08_02,31.5,32,31.75,0.1524000000000001,59.58005249,16
tl08_02,32,32.5,32.25,0.13889999999999958,61.69906407,4
tl08_02,32.5,33,32.75,0.13560000000000016,62.24188791,14
tl08_02,33,33.5,33.25,0.1515000000000004,57.82178218,26
tl08_02,33.5,34,33.75,0.12899999999999778,56.74418605,40
