location,depth,DBD,LOI,Sand
tl18_1,0.5,0.05849999999999955,53.33333333333394,146
tl18_1,1.5,0.0539000000000005,62.894248608532166,6
tl18_1,2.5,0.055899999999999395,61.71735241502666,6
tl18_1,3.5,0.08619999999999983,62.41299303944413,110
tl18_1,4.5,0.07040000000000113,56.107954545454085,112
tl18_1,5.5,0.07850000000000001,49.93630573248536,130
tl18_1,6.5,0.13209999999999944,32.77819833459405,504
tl18_1,7.5,0.09590000000000032,44.00417101147131,492
tl18_1,8.5,0.11319999999999908,46.99646643109453,174
tl18_1,9.5,0.09600000000000009,61.87500000000007,44
tl18_1,10.5,0.09089999999999954,60.286028602860796,34
tl18_1,11.5,0.09330000000000105,63.665594855304874,26
tl18_1,12.5,0.10949999999999882,45.75342465753355,476
tl18_1,13.5,0.13819999999999943,48.842257597685276,334
tl18_1,14.5,0.10389999999999944,59.57651588065443,102
tl18_1,15.5,0.09370000000000012,60.40554962646784,48
tl18_1,16.5,0.13979999999999926,40.91559370529343,326
tl18_1,17.5,0.8223000000000003,5.0468198954152,7000
tl18_1,18.5,1.3842999999999996,1.9287726648847758,13130
tl18_1,19.5,1.1194999999999986,4.0464493077266,8730
tl18_1,20.5,0.7481000000000009,6.603395268012334,2280
tl18_1,21.5,0.46470000000000056,14.525500322788664,1800
tl18_1,22.5,0.2558000000000007,29.63252541047654,1250
tl18_1,23.5,0.148299999999999,45.9204315576533,300
tl18_1,24.5,0.17849999999999966,44.089635854341566,544
tl18_1,25.5,0.18520000000000003,35.3131749460045,380
tl18_1,26.5,0.3304999999999989,20.998487140695957,866
tl18_1,27.5,1.2641999999999989,2.721088435374133,5860
tl18_1,28.5,1.4339000000000004,2.5943231745589186,6840
