location,cmTop,cmBot,depth,DBD,LOI,Sand
tl18_2,0,0.5,0.25,0.03480000000000061,65.51724138,0
tl18_2,0.5,1,0.75,0.05540000000000056,69.49458484,6
tl18_2,1,1.5,1.25,0.047399999999999665,72.57383966,0
tl18_2,1.5,2,1.75,0.048799999999999955,70.69672131,0
tl18_2,2,2.5,2.25,0.06780000000000008,66.66666667,8
tl18_2,2.5,3,2.75,0.06460000000000043,67.49226006,2
tl18_2,3,3.5,3.25,0.07840000000000025,74.10714286,2
tl18_2,3.5,4,3.75,0.08129999999999882,65.80565806,20
tl18_2,4,4.5,4.25,0.07670000000000066,62.32073012,12
tl18_2,4.5,5,4.75,0.08249999999999957,62.54545455,4
tl18_2,5,5.5,5.25,0.08370000000000033,61.05137395,36
tl18_2,5.5,6,5.75,0.07989999999999942,58.32290363,110
tl18_2,6,6.5,6.25,0.0713999999999988,62.32492997,4
tl18_2,6.5,7,6.75,0.07639999999999958,63.21989529,4
tl18_2,7,7.5,7.25,0.08469999999999978,59.03187721,4
tl18_2,7.5,8,7.75,0.09089999999999954,54.78547855,24
tl18_2,8,8.5,8.25,0.07179999999999964,56.82451253,2
tl18_2,8.5,9,8.75,0.08360000000000056,59.44976077,4
tl18_2,9,9.5,9.25,0.07910000000000039,60.42983565,2
tl18_2,9.5,10,9.75,0.07760000000000034,62.75773196,4
tl18_2,10,10.5,10.25,0.08430000000000071,62.87069988,0
tl18_2,10.5,11,10.75,0.08000000000000007,61.625,4
tl18_2,11,11.5,11.25,0.07840000000000025,64.79591837,4
tl18_2,11.5,12,11.75,0.0838000000000001,63.8424821,0
tl18_2,12,12.5,12.25,0.08569999999999922,61.37689615,0
tl18_2,12.5,13,12.75,0.07949999999999946,58.6163522,8
tl18_2,13,13.5,13.25,0.07120000000000104,61.37640449,2
tl18_2,13.5,14,13.75,0.0777000000000001,63.57786358,0
tl18_2,14,14.5,14.25,0.07779999999999987,62.98200514,0
tl18_2,14.5,15,14.75,0.08270000000000088,59.12938331,6
tl18_2,15,15.5,15.25,0.0943000000000005,52.91622481,20
tl18_2,15.5,16,15.75,0.09249999999999936,58.81081081,12
tl18_2,16,16.5,16.25,0.08230000000000004,60.02430134,4
tl18_2,16.5,17,16.75,0.08489999999999931,60.65959953,6
tl18_2,17,17.5,17.25,0.08170000000000144,62.54589963,10
tl18_2,17.5,18,17.75,0.07830000000000048,63.85696041,2
tl18_2,18,18.5,18.25,0.09580000000000055,62.83924843,26
tl18_2,18.5,19,18.75,0.09020000000000117,57.76053215,18
tl18_2,19,19.5,19.25,0.08729999999999905,59.22107675,10
tl18_2,19.5,20,19.75,0.09260000000000002,60.47516199,24
tl18_2,20,20.5,20.25,0.08610000000000007,58.53658537,8
