location,cmTop,cmBot,depth,DBD,LOI,Sand
tl18_2,20.5,21,20.75,0.07709999999999972,60.18158236,18
tl18_2,21,21.5,21.25,0.09849999999999959,54.01015228,12
tl18_2,21.5,22,21.75,0.0981999999999994,58.14663951,6
tl18_2,22,22.5,22.25,0.09699999999999953,61.2371134,6
tl18_2,22.5,23,22.75,0.11080000000000112,60.92057762,6
tl18_2,23,23.5,23.25,0.1424000000000003,52.80898876,86
tl18_2,23.5,24,23.75,0.1382999999999992,63.84671005,182
tl18_2,24,24.5,24.25,0.13230000000000075,65.00377929,34
tl18_2,24.5,25,24.75,0.1166999999999998,62.63924593,14
tl18_2,25,25.5,25.25,0.09399999999999942,64.78723404,0
tl18_2,25.5,26,25.75,0.09440000000000026,63.66525424,6
tl18_2,26,26.5,26.25,0.09719999999999906,62.1399177,12
tl18_2,26.5,27,26.75,0.10920000000000041,57.32600733,8
tl18_2,27,27.5,27.25,0.09390000000000143,58.78594249,4
tl18_2,27.5,28,27.75,0.09719999999999906,55.24691358,20
tl18_2,28,28.5,28.25,0.08830000000000027,58.77689694,10
tl18_2,28.5,29,28.75,0.09989999999999988,55.75575576,4
tl18_2,29,29.5,29.25,0.10650000000000048,53.05164319,6
tl18_2,29.5,30,29.75,0.10909999999999975,53.34555454,2
tl18_2,30,30.5,30.25,0.10319999999999929,50.7751938,2
tl18_2,30.5,31,30.75,0.10089999999999932,53.51833499,2
tl18_2,31,31.5,31.25,0.10800000000000054,49.07407407,52
tl18_2,31.5,32,31.75,0.13039999999999985,42.10122699,102
tl18_2,32,32.5,32.25,0.11269999999999847,51.55279503,32
tl18_2,32.5,33,32.75,0.10989999999999966,55.77797998,4
tl18_2,33,33.5,33.25,0.1053999999999995,54.93358634,4
tl18_2,33.5,34,33.75,0.11160000000000103,51.97132616,18
tl18_2,34,34.5,34.25,0.12379999999999924,44.10339257,36
tl18_2,34.5,35,34.75,0.13959999999999972,33.5243553,38
tl18_2,35,35.5,35.25,0.14080000000000048,34.44602273,108
tl18_2,35.5,36,35.75,0.2980999999999998,16.73934921,506
tl18_2,36,36.5,36.25,0.18009999999999948,33.75902277,78
tl18_2,36.5,37,36.75,0.1402000000000001,42.93865906,6
tl18_2,37,37.5,37.25,0.1526999999999994,44.40078585,6
tl18_2,37.5,38,37.75,0.15270000000000117,44.2043222,0
tl18_2,38,38.5,38.25,0.15390000000000015,41.45549058,0
tl18_2,38.5,39,38.75,0.1847999999999992,33.27922078,76
tl18_2,39,39.5,39.25,0.1396999999999995,38.65425913,74
tl18_2,39.5,40,39.75,0.1650999999999998,37.49242883,70
tl18_2,40,40.5,40.25,0.16990000000000016,33.60800471,146
tl18_2,40.5,41,40.75,0.18210000000000015,32.45469522,34
tl18_2,41,41.5,41.25,0.23290000000000077,25.84800343,58
tl18_2,41.5,42,41.75,0.21940000000000026,28.21330902,26
tl18_2,42,42.5,42.25,0.28699999999999903,21.08013937,162
tl18_2,42.5,43,42.75,0.22380000000000067,27.61394102,130
