AgeTop,AgeBot
-69,-68.53858626079887
-68.53858626079887,-68.07717252159773
-68.07717252159773,-67.6157587823966
-67.6157587823966,-67.00559477369416
-67.00559477369416,-66.09793022598956
-66.09793022598956,-65.04151540878365
-65.04151540878365,-63.98510059157775
-63.98510059157775,-62.861364281433
-62.861364281433,-61.602984985410785
-61.602984985410785,-60.277284196449955
-60.277284196449955,-58.951583407489125
-58.951583407489125,-57.59728417961742
-57.59728417961742,-56.18578807392487
-56.18578807392487,-54.74569352932167
-54.74569352932167,-53.30559898471847
-53.30559898471847,-51.8468866644489
-51.8468866644489,-50.35093879284591
-50.35093879284591,-48.83637314557632
-48.83637314557632,-47.321807498306725
-47.321807498306725,-45.747741743236475
-45.747741743236475,-44.05467577256559
-44.05467577256559,-42.30210969409427
-42.30210969409427,-40.54954361562295
-40.54954361562295,-38.7512008413114
-38.7512008413114,-36.86130467531984
-36.86130467531984,-34.92563181348805
-34.92563181348805,-32.98995895165626
-32.98995895165626,-31.040514693906516
-31.040514693906516,-29.06352764431972
-29.06352764431972,-27.07276919881474
-27.07276919881474,-25.08201075330976
-25.08201075330976,-23.08837327033052
-23.08837327033052,-21.088977712402993
-21.088977712402993,-19.08670311700098
-19.08670311700098,-17.084428521598966
-17.084428521598966,-15.059313562235047
-15.059313562235047,-12.988517874946865
-12.988517874946865,-10.89488182369655
-10.89488182369655,-8.801245772446237
-8.801245772446237,-6.703435116858145
-6.703435116858145,-4.5972752525949545
-4.5972752525949545,-2.486940783994214
-2.486940783994214,-0.3766063153934738
-0.3766063153934738,1.692126061704812
1.692126061704812,3.6776542557984158
3.6776542557984158,5.621580358389565
5.621580358389565,7.565506460980487
7.565506460980487,9.49858818908524
9.49858818908524,11.409981168217655
11.409981168217655,13.310529772863902
13.310529772863902,15.211078377510148
15.211078377510148,17.133315731128732
17.133315731128732,19.098930582692446
19.098930582692446,21.08623418322827
21.08623418322827,23.073537783764095
23.073537783764095,25.078643432682384
25.078643432682384,27.119353178365145
27.119353178365145,29.177864972430143
29.177864972430143,31.236376766494914
31.236376766494914,33.31561763037416
33.31561763037416,35.43631663388214
35.43631663388214,37.5777447072046
37.5777447072046,39.71917278052683
39.71917278052683,41.87379644227258
41.87379644227258,44.05481128086558
44.05481128086558,45.700469101127965
45.700469101127965,48.40254173859603
48.40254173859603,51.10461437606409
