depth,(M) Navicula bipustulata,Actinocyclus cf. normanii,Nitzschia tubicola,Petroneis humerosa,Pinnularia semiinflata,Tabularia waernii,Cocconeis scutelum,(B) Nitzschia sigma,Parlibellus plicatus,Navicula arenaria,Navicula hanseatica,Navicula meniscus,Rhopalodia musculus,Halamphora acutiscula,Halamphora coffeiformis,Navicula peregrina,Navicula phylleoptosoma,Navicula veneta,(E) Pinnuavis elegans,Diploneeis smithii,Mastogloia smithii,Nitzschia dubia,Parlibellus crucicula,Tryblionella hantzschiana,Amphora ovalis,Navicula rhynchotella,Diploneis smithii,Staurosirella martyi,Surirella ovalis,Navicula gregaria,Diploneis eliptica,Planothidium delicathulum,Stephanocyclus meneghinianus,(F) Ctenophora pulchella,Diatoma moniloformis,Luticolopsis vietnamica,Navicula radiosa,Nitzschia incospicua,Placoneis clementis,Sellaphora bacillum,Synedra famelica,Brebissonia lanceolata,Craticula halophilioides,Fallacia pygmaea,Nitzschia nana,Pseudostaurosira elliptica,Caloneis amphisbaena,Diatoma tenuis,Nitzschia dissipata,Brachysira styriaca,Fragilaria capucina,Pseudostaurosira brevistriata,Fragilaria gracilis,Nitzschia palea,Pinnularia borealis,Pinnularia cardinaliculus,Sellaphora laevissima,Caloneis silicula,Encyonema minutum,Gomphonema acuminatum,Cymbella cymbiformis,Encyonema silesiacum,Pinnularia viridiformis,Adlafia minuscula,Cymbopleura naviculiformis,Gomphonema minusculum,Pinnularia viridis,Achnanthidium caledonicum,Achnanthidium lineare,Achnanthidium minutissimum,Achnanthidium peterseni,Brachysira procera,Brachysira serians,Brachysira vitrea,Caloneis schumanniana,Cavinula pseudoscutiformis,Cocconeis placentula,Diploneis abscondita,Diploneis boldtiana,Diploneis finnica,Encyonema neogracile,Encyonopsis cesatii,Encyonopsis microcephala,Eucocconeis alpestris,Eunotia arcus,Eunotia bilunaris,Eunotia boreoalpina,Eunotia glacialis,Eunotia implicata,Eunotia paludosa,Eunotia rhomboidea,Eunotia tenella,Eunotia tetraodon,Eunotia triodon,Eunotia vanheurckii,Fragilaria exigua,Fragilaria radians,Fragilaria rhabdosoma,Fragilaria tenera,Fragilaria tenera var. nanana,Fragilariforma bicapitata,Fragilariforma virescens var. subsalina,Frustulia erifuga,Frustulia saxonica,Frustulia vulgaris,Gomphonema coronatum,Gomphonema druteligense,Gomphonema parvulius,Gomphonema parvulum,Gomphonema pumilum,Gyrosigma acuminatum,Hippodonta hungarica,Iconella amphioxys,Navicula cryptocephala,Neidium affine,Nitzschia hantzschiana,Nitzschia homburgensis,Nitzschia sigmoidea,Pinnularia krammeri,Pinnularia microstauron,Pinnularia pulchra,Pinnularia subgibba,Pinnularia subnodosa,Pinnularia turfosiphila,Planothidium daui,Platessa oblongella,Psammothidium subatomoides,Rossithidium pusillum,Stauroforma exiguiformis,Stauroneis acidoclinata,Stauroneis gracilis,Stauroneis kriegeri,Stauroneis phoenicentron,Stauroneis sylvahassiaca,Staurosira bidonis,Staurosira construens,Staurosira venter,Staurosirella pinnata,Tabellaria fenestrata,Tabellaria flocculosa,Tabellaria ventricosa,Ulnaria ulna,Gomphonema naviculoides,Lindavia radiosa,(I) Diatoma sp.,Achnanthes sp.,Nitzschia sp.,Pinnularia sp.,Surirella sp.
32.75,1,0,0,0,0,0,2,0,3,0,17,25,0,0,1,7,0,1,9,1,0,0,0,0,0,0,0,0,0,8,1,1,11,9,0,0,0,2,2,0,0,0,0,0,0,91,0,0,0,0,0,8,1,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,5,12,10,0,2,0,1,5,6,0,0,0,0,0,3,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,21,0,0,100,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
33.25,0,0,0,0,0,0,0,0,2,0,21,12,0,0,0,14,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,5,4,0,0,18,4,1,5,0,0,2,0,0,135,0,0,0,0,0,9,0,3,4,0,0,0,3,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,7,0,2,100,5,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0
33.75,1,0,0,0,0,0,3,0,2,0,13,28,0,0,1,9,0,1,1,0,0,2,0,0,1,0,0,0,0,2,1,4,10,5,0,0,0,0,1,0,0,0,0,1,0,116,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,13,16,0,2,0,3,2,8,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,1,0,31,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
34.25,3,0,0,0,0,0,0,0,4,0,7,21,2,0,0,16,0,1,2,0,1,0,0,0,0,0,0,0,0,3,2,0,8,10,0,0,0,1,0,0,0,0,0,0,0,111,0,0,0,0,0,12,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,12,0,2,0,1,0,7,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,115,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34.75,1,0,0,0,0,0,0,0,4,0,5,9,0,0,2,7,0,1,4,0,1,0,0,0,2,0,0,0,0,5,1,3,7,11,0,0,0,2,3,0,0,0,0,1,0,120,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,18,0,2,0,1,1,6,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.25,0,0,0,0,0,0,1,0,7,2,4,14,0,0,0,16,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,3,8,8,1,0,0,1,6,0,0,0,0,4,0,113,0,0,0,0,1,11,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,3,6,14,0,1,0,0,3,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,49,0,0,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.75,1,0,0,0,0,0,7,0,1,0,23,2,0,0,0,22,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,5,5,0,0,12,2,2,1,0,0,0,0,0,105,1,0,0,0,0,14,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,7,6,1,0,0,2,0,16,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,3,123,2,1,1,0,0,0,2,4,0,0,0,0,1,0,1,0,0,0,0,0
36.25,4,0,0,0,0,0,1,0,5,2,6,6,0,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,12,0,0,0,0,1,0,0,0,0,0,0,120,0,0,0,0,0,6,0,0,7,0,0,0,0,2,0,0,0,0,1,0,0,0,2,15,15,0,2,0,1,1,27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,104,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
36.75,0,0,0,0,0,0,2,0,0,0,7,7,0,0,1,13,0,3,1,0,0,0,0,0,2,0,0,0,0,2,2,4,10,10,0,0,0,1,0,0,0,0,0,0,0,121,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,4,13,19,0,1,0,0,2,11,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,113,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
37.25,1,0,0,0,0,0,1,0,1,1,1,3,0,0,0,13,0,0,3,0,0,1,0,0,1,0,0,0,0,1,1,3,9,9,1,0,0,2,1,0,0,0,0,0,0,99,0,0,0,0,0,17,0,0,9,0,0,0,1,0,0,0,0,0,0,0,1,0,2,21,15,0,2,0,1,2,28,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.75,0,0,0,0,0,0,3,0,4,3,4,6,0,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,8,0,0,0,0,2,0,0,0,0,1,0,117,0,0,0,0,0,12,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,3,31,10,0,5,0,1,1,21,0,0,0,0,0,5,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.25,2,2,0,0,1,0,4,0,6,0,7,9,0,0,0,28,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,4,10,15,0,0,3,0,0,2,0,0,0,0,0,69,0,0,0,0,0,7,0,0,7,0,0,0,1,0,0,0,0,0,0,0,4,0,0,7,1,3,0,0,0,0,21,3,0,0,1,1,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,134,0,0,0,0,0,0,3,4,1,0,0,1,0,0,0,0,0,0,0,0
39.75,6,0,0,1,0,2,2,0,6,0,16,2,0,1,0,24,0,0,7,0,0,1,0,0,1,0,0,3,0,6,4,0,5,11,0,0,3,0,3,0,0,1,0,0,0,94,0,1,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,1,3,2,1,0,0,0,0,1,0,18,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,4,18,7,0,0,0,0,0,4,0,0,0,0,0
40.25,1,0,0,0,0,0,0,0,3,0,22,9,0,1,0,16,1,0,4,0,0,1,0,0,0,0,1,0,0,1,0,1,15,7,3,0,2,2,1,1,0,0,0,1,0,137,0,0,0,0,0,9,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,3,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,7,0,6,0,0,1,0,0,0,0,0,0,0,0,1,1,1,88,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1
40.75,1,0,0,0,0,0,1,1,2,0,26,14,0,0,0,20,0,0,13,0,0,1,4,0,0,0,0,0,0,4,0,0,16,10,1,0,6,3,1,1,0,0,0,1,0,54,0,0,0,0,0,15,0,1,10,1,0,0,0,0,0,5,1,0,0,0,1,0,2,5,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,133,0,1,0,0,0,0,1,8,1,0,0,0,0,0,1,0,1,0,0,0
