depth,(M) Navicula bipustulata,Actinocyclus cf. normanii,Nitzschia tubicola,Petroneis humerosa,Pinnularia semiinflata,Tabularia waernii,Cocconeis scutelum,(B) Nitzschia sigma,Parlibellus plicatus,Navicula arenaria,Navicula hanseatica,Navicula meniscus,Rhopalodia musculus,Halamphora acutiscula,Halamphora coffeiformis,Navicula peregrina,Navicula phylleoptosoma,Navicula veneta,(E) Pinnuavis elegans,Diploneeis smithii,Mastogloia smithii,Nitzschia dubia,Parlibellus crucicula,Tryblionella hantzschiana,Amphora ovalis,Navicula rhynchotella,Diploneis smithii,Staurosirella martyi,Surirella ovalis,Navicula gregaria,Diploneis eliptica,Planothidium delicathulum,Stephanocyclus meneghinianus,(F) Ctenophora pulchella,Diatoma moniloformis,Luticolopsis vietnamica,Navicula radiosa,Nitzschia incospicua,Placoneis clementis,Sellaphora bacillum,Synedra famelica,Brebissonia lanceolata,Craticula halophilioides,Fallacia pygmaea,Nitzschia nana,Pseudostaurosira elliptica,Caloneis amphisbaena,Diatoma tenuis,Nitzschia dissipata,Brachysira styriaca,Fragilaria capucina,Pseudostaurosira brevistriata,Fragilaria gracilis,Nitzschia palea,Pinnularia borealis,Pinnularia cardinaliculus,Sellaphora laevissima,Caloneis silicula,Encyonema minutum,Gomphonema acuminatum,Cymbella cymbiformis,Encyonema silesiacum,Pinnularia viridiformis,Adlafia minuscula,Cymbopleura naviculiformis,Gomphonema minusculum,Pinnularia viridis,Achnanthidium caledonicum,Achnanthidium lineare,Achnanthidium minutissimum,Achnanthidium peterseni,Brachysira procera,Brachysira serians,Brachysira vitrea,Caloneis schumanniana,Cavinula pseudoscutiformis,Cocconeis placentula,Diploneis abscondita,Diploneis boldtiana,Diploneis finnica,Encyonema neogracile,Encyonopsis cesatii,Encyonopsis microcephala,Eucocconeis alpestris,Eunotia arcus,Eunotia bilunaris,Eunotia boreoalpina,Eunotia glacialis,Eunotia implicata,Eunotia paludosa,Eunotia rhomboidea,Eunotia tenella,Eunotia tetraodon,Eunotia triodon,Eunotia vanheurckii,Fragilaria exigua,Fragilaria radians,Fragilaria rhabdosoma,Fragilaria tenera,Fragilaria tenera var. nanana,Fragilariforma bicapitata,Fragilariforma virescens var. subsalina,Frustulia erifuga,Frustulia saxonica,Frustulia vulgaris,Gomphonema coronatum,Gomphonema druteligense,Gomphonema parvulius,Gomphonema parvulum,Gomphonema pumilum,Gyrosigma acuminatum,Hippodonta hungarica,Iconella amphioxys,Navicula cryptocephala,Neidium affine,Nitzschia hantzschiana,Nitzschia homburgensis,Nitzschia sigmoidea,Pinnularia krammeri,Pinnularia microstauron,Pinnularia pulchra,Pinnularia subgibba,Pinnularia subnodosa,Pinnularia turfosiphila,Planothidium daui,Platessa oblongella,Psammothidium subatomoides,Rossithidium pusillum,Stauroforma exiguiformis,Stauroneis acidoclinata,Stauroneis gracilis,Stauroneis kriegeri,Stauroneis phoenicentron,Stauroneis sylvahassiaca,Staurosira bidonis,Staurosira construens,Staurosira venter,Staurosirella pinnata,Tabellaria fenestrata,Tabellaria flocculosa,Tabellaria ventricosa,Ulnaria ulna,Gomphonema naviculoides,Lindavia radiosa,(I) Diatoma sp.,Achnanthes sp.,Nitzschia sp.,Pinnularia sp.,Surirella sp.
10.25,0,0,0,0,0,0,4,0,0,5,7,14,0,0,0,4,0,0,10,2,0,0,0,0,1,0,0,0,0,4,0,8,4,15,4,0,0,0,1,0,0,0,0,0,0,76,0,2,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,11,14,45,0,5,1,0,0,5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,23,0,0,102,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0
13.25,0,1,0,0,0,0,0,0,0,2,20,11,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,1,3,0,0,0,7,20,2,0,0,0,2,2,0,0,0,0,1,53,0,0,0,0,0,20,0,3,9,0,0,0,0,0,0,0,0,0,0,0,2,0,2,17,12,2,0,1,2,4,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,10,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,6,1,1,0,0,2,0,0,0,0,0,0,0,0,4,1,1,150,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
16.25,0,0,1,0,0,0,1,0,3,2,13,16,0,0,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,4,0,19,2,8,4,0,0,0,1,0,0,0,0,0,0,50,0,3,0,0,0,10,0,4,7,0,0,0,0,1,0,0,0,0,0,0,0,0,15,13,22,1,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,7,0,0,0,2,1,0,0,0,0,0,0,0,0,46,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
19.25,0,0,0,0,0,0,0,0,3,0,7,24,0,0,1,3,0,0,6,0,0,3,0,0,0,0,0,0,0,2,1,12,4,4,1,0,0,0,2,0,0,1,0,0,0,88,0,0,0,0,0,9,3,0,10,0,0,0,0,0,0,0,0,0,2,1,1,0,4,12,28,0,2,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,31,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.75,0,0,0,0,0,0,0,0,3,1,6,37,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,3,0,5,2,3,1,0,0,4,0,0,0,0,0,0,0,55,0,1,0,0,0,6,7,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,1,24,44,0,4,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,45,0,0,111,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,1
22.25,0,0,0,0,0,0,2,0,4,1,8,32,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,6,0,0,0,2,0,0,0,89,0,0,0,0,0,1,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,16,26,1,10,0,0,7,0,0,0,0,2,0,3,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,34,0,0,125,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0
22.75,0,0,0,0,0,0,1,0,1,0,2,16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,5,0,0,0,8,1,0,0,0,0,0,0,72,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,5,24,25,0,5,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,158,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,3,0,0,0,0
23.25,0,0,0,0,0,0,0,0,2,8,6,32,0,0,3,4,0,0,4,0,0,1,0,0,0,0,0,0,0,0,2,4,2,4,6,0,0,6,1,0,0,0,0,0,0,42,0,0,0,0,1,6,0,0,2,0,0,0,3,0,0,0,0,0,0,0,4,0,8,24,21,0,8,0,0,0,0,0,0,0,2,0,5,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,43,0,0,126,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,5,0,0,0,0
23.75,0,0,0,0,0,0,0,0,1,0,6,15,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,8,0,1,0,1,1,0,1,2,1,2,0,0,0,0,0,65,0,0,0,0,0,17,2,12,4,0,0,0,3,0,0,5,0,0,0,0,2,0,0,11,4,2,1,0,0,7,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,1,5,0,0,5,1,0,0,0,1,1,0,2,0,0,1,0,6,1,0,1,0,0,3,0,0,0,2,1,0,0,3,0,3,165,0,1,0,0,0,0,6,1,0,0,1,4,0,0,0,0,0,0,0,0
24.25,4,0,0,0,0,0,0,0,2,7,4,19,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,8,2,1,0,0,0,4,3,0,0,0,0,0,0,74,0,1,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,14,22,18,0,5,0,0,6,3,0,0,0,11,0,7,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,24,0,0,132,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0
