"depth_min"	"depth_max"	"thickness"	"density"	"Pb210ex"	"Pb210ex_er"	"Cs137"	"Cs137_er"
0	40	40	0.0598125	1101.387015	325.61991	34.1085	6.7276
40	60	20	0.0807	639.3083551	191.33642	35.5217	9.434
60	80	20	0.08085	200.0224451	77.052451	52.6613	9.6973
80	100	20	0.078025	223.9075851	77.210065	54.5974	10.432
100	120	20	0.081625	195.9648951	80.41536	11.4884	5.7125
120	140	20	0.078525	98.32404512	53.977276	7.8431	6.1878
140	160	20	0.086825	91.18311812	48.643616	NA	NA
160	180	20	0.0818	42.62319712	29.546442	NA	NA
180	200	20	0.091475	21.21918212	46.70003	NA	NA
200	220	20	0.089975	21.50870712	42.650933	NA	NA
220	240	20	0.122125	16.80396712	41.975585	3.0298659	3.9079075
240	260	20	0.10935	2.743397618	19.146519	2.1078852	3.2560826
