"depth_avg_mm" "mass_depth_g.cm.2" "BestAD_CIC" "MinAD_CIC" "MaxAD_CIC" "MAR_CIC_g.cm.2.yr" "MAR_CIC_err_g.cm.2.yr"
0 0 2019 2019 2019 0 0
20 0.119625 2019 2005.54866465848 2032.45133534152 0 0
50 0.31995 2001.50035037874 1987.96558726197 2015.03511349551 0.0138345627049532 0.015085623371374
70 0.4815 1964.11774425457 1948.49233826609 1979.74315024304 0.00432554112099303 0.00239198929034181
90 0.640375 1967.74687978731 1953.13104737063 1982.36271220399 -0.0429992207764322 0.253503433581899
110 0.800025 1963.45840766652 1947.18405308453 1979.73276224851 0.0380671706383604 0.194168430473178
130 0.960175 1941.27037464147 1921.20590619197 1961.33484309097 0.00707813981630012 0.00824148816063831
150 1.125525 1938.84463582016 1919.21744227859 1958.47182936173 0.071586437284326 0.828318479241504
170 1.29415 1914.37868292276 1890.1265938771 1938.63077196843 0.00668684357752639 0.00852712425519042
190 1.467425 1891.93886721626 1820.49383674427 1963.38389768825 0.00815291900757326 0.027412428107645
210 1.648875 1892.37487141915 1827.86997339222 1956.87976944609 -0.412725379261929 91.1170475606067
230 1.860975 1884.43341906865 1803.50464547902 1965.36219265828 0.0307563389188398 0.400808109474501
250 2.09245 1826.12413221415 1601.38713466381 2050.86112976449 0.00375068898622848 0.0153647212676469
