"depth_avg_mm" "mass_depth_g.cm.2" "BestAD_CRS" "MinAD_CRS" "MaxAD_CRS" "MAR_CRS_g.cm.2.yr" "MAR_CRS_err_g.cm.2.yr"
0 0 2019 2019 2019 0 0
0 0.119625 2019 2019 2019 0.0145812964592 0.00512430806000709
40 0.31995 1996.04955625484 1990.31141825033 2001.78769425935 0.01230878848733 0.0043415121229098
60 0.4815 1979.20639964709 1972.13847823039 1986.27432106379 0.0233066284261833 0.0102622091927432
80 0.640375 1971.39176427488 1963.45379623945 1979.3297323103 0.0163304747628178 0.00689340547009801
100 0.800025 1960.05345721767 1950.34402419397 1969.76289024137 0.0131169349043209 0.00670407632279763
120 0.960175 1944.31666892999 1931.29194016628 1957.3413976937 0.0160294411024016 0.0110030351718372
140 1.125525 1932.63248428828 1915.75773038443 1949.50723819212 0.0120209188916419 0.00908928592667484
160 1.29415 1913.45656763815 1886.28205331246 1940.63108196384 0.0141693004970476 0.0156685922450006
180 1.467425 1899.15456821578 1858.53163216099 1939.77750427056 0.0182474268152928 0.0464880141964078
200 1.648875 1887.1401733823 1837.08172708852 1937.19861967608 0.0123917434128886 0.0313694045170955
220 1.860975 1867.82581648404 1792.53605015015 1943.11558281793 0.00870178608636456 0.0298795137745919
240 2.09245 1801.57237049906 1577.21370168514 2025.93103931298 0.0067978156228009 0.0670976472998514
