"depth_avg_mm" "mass_depth_g.cm.2" "BestAD_CRS" "MinAD_CRS" "MaxAD_CRS" "MAR_CRS_g.cm.2.yr" "MAR_CRS_err_g.cm.2.yr"
0 0.0598125 2019 2019 2019 0.00729064822959998 0.00256215403000355
5 0.0923296875 2016.13119453186 2015.41392728129 2016.84846178242 0.00791791576181624 0.00278457379161683
10 0.124846875 2013.26238906371 2011.82785456258 2014.69692356484 0.0085451832940325 0.00300699355323011
15 0.1573640625 2010.39358359557 2008.24178184388 2012.54538534726 0.00917245082624876 0.00322941331484339
20 0.18988125 2007.52477812742 2004.65570912517 2010.39384712968 0.00979971835846501 0.00345183307645667
25 0.2223984375 2004.65597265928 2001.06963640646 2008.2423089121 0.0104269858906813 0.00367425283806996
30 0.254915625 2001.78716719113 1997.48356368775 2006.09077069451 0.0110542534228975 0.00389667259968324
35 0.2874328125 1998.91836172299 1993.89749096904 2003.93923247693 0.0116815209551138 0.00411909236129652
40 0.31995 1996.04955625484 1990.31141825033 2001.78769425935 0.01230878848733 0.0043415121229098
45 0.3603375 1991.83876710291 1985.76818324535 1997.90935096046 0.0150582484720434 0.00582168639036816
50 0.400725 1987.62797795097 1981.22494824036 1994.03100766157 0.0178077084567567 0.00730186065782651
55 0.4411125 1983.41718879903 1976.68171323538 1990.15266436268 0.02055716844147 0.00878203492528487
60 0.4815 1979.20639964709 1972.13847823039 1986.27432106379 0.0233066284261833 0.0102622091927432
65 0.52121875 1977.25274080404 1969.96730773266 1984.53817387542 0.0215625900103419 0.00942000826208192
70 0.5609375 1975.29908196098 1967.79613723492 1982.80202668705 0.0198185515945006 0.00857780733142062
75 0.60065625 1973.34542311793 1965.62496673719 1981.06587949867 0.0180745131786592 0.00773560640075932
80 0.640375 1971.39176427488 1963.45379623945 1979.3297323103 0.0163304747628178 0.00689340547009801
85 0.6802875 1968.55718751057 1960.17635322808 1976.93802179307 0.0155270897981936 0.00684607318327292
90 0.7202 1965.72261074627 1956.89891021671 1974.54631127584 0.0147237048335694 0.00679874089644782
95 0.7601125 1962.88803398197 1953.62146720534 1972.15460075861 0.0139203198689451 0.00675140860962272
100 0.800025 1960.05345721767 1950.34402419397 1969.76289024137 0.0131169349043209 0.00670407632279763
105 0.8400625 1956.11926014575 1945.58100318704 1966.65751710446 0.0138450614538411 0.00777881603505751
110 0.8801 1952.18506307383 1940.81798218012 1963.55214396754 0.0145731880033612 0.0088535557473174
115 0.9201375 1948.25086600191 1936.0549611732 1960.44677083062 0.0153013145528814 0.00992829545957728
120 0.960175 1944.31666892999 1931.29194016628 1957.3413976937 0.0160294411024016 0.0110030351718372
125 1.0015125 1941.39562276956 1927.40838772082 1955.38285781831 0.0150273105497117 0.0105245978605466
130 1.04285 1938.47457660913 1923.52483527535 1953.42431794291 0.0140251799970218 0.010046160549256
135 1.0841875 1935.55353044871 1919.64128282989 1951.46577806752 0.0130230494443319 0.00956772323796542
140 1.125525 1932.63248428828 1915.75773038443 1949.50723819212 0.0120209188916419 0.00908928592667484
145 1.16768125 1927.83850512575 1908.38881111644 1947.28819913505 0.0125580142929934 0.0107341125062563
150 1.2098375 1923.04452596321 1901.01989184845 1945.06916007798 0.0130951096943448 0.0123789390858377
155 1.25199375 1918.25054680068 1893.65097258045 1942.85012102091 0.0136322050956962 0.0140237656654192
160 1.29415 1913.45656763815 1886.28205331246 1940.63108196384 0.0141693004970476 0.0156685922450006
165 1.33746875 1909.88106778256 1879.34444802459 1940.41768754052 0.0151888320766089 0.0233734477328524
170 1.3807875 1906.30556792697 1872.40684273673 1940.2042931172 0.0162083636561702 0.0310783032207042
175 1.42410625 1902.73006807137 1865.46923744886 1939.99089869388 0.0172278952357315 0.038783158708556
180 1.467425 1899.15456821578 1858.53163216099 1939.77750427056 0.0182474268152928 0.0464880141964078
185 1.5127875 1896.15096950741 1853.16915589287 1939.13278312194 0.0167835059646918 0.0427083617765798
190 1.55815 1893.14737079904 1847.80667962476 1938.48806197332 0.0153195851140907 0.0389287093567517
195 1.6035125 1890.14377209067 1842.44420335664 1937.8433408247 0.0138556642634896 0.0351490569369236
200 1.648875 1887.1401733823 1837.08172708852 1937.19861967608 0.0123917434128886 0.0313694045170955
205 1.7019 1882.31158415774 1825.94530785393 1938.67786046154 0.0114692540812576 0.0309969318314696
210 1.754925 1877.48299493317 1814.80888861933 1940.15710124701 0.0105467647496266 0.0306244591458437
215 1.80795 1872.6544057086 1803.67246938474 1941.63634203247 0.00962427541799556 0.0302519864602178
220 1.860975 1867.82581648404 1792.53605015015 1943.11558281793 0.00870178608636456 0.0298795137745919
225 1.91884375 1851.26245498779 1738.7054630339 1963.81944694169 0.00822579347047364 0.0391840471559068
230 1.9767125 1834.69909349155 1684.87487591765 1984.52331106545 0.00774980085458273 0.0484885805372217
235 2.03458125 1818.13573199531 1631.0442888014 2005.22717518921 0.00727380823869181 0.0577931139185366
240 2.09245 1801.57237049906 1577.21370168514 2025.93103931298 0.0067978156228009 0.0670976472998514
